// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3f060257-2e11-449d-998f-bef4f8fd1d41
// command took 1.68s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3f060257-2e11-449d-998f-bef4f8fd1d41
// command took 3.25s and exited with 0
// ***** Done, took 00:00:05 (5.09 sec)   *****
// Found 3 benchmarks:
//   BoxingBenchmark.TestNormal: DefaultJob [N=1000]
//   BoxingBenchmark.TestBoxing: DefaultJob [N=1000]
//   BoxingBenchmark.TestBoxingAndInterface: DefaultJob [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BoxingBenchmark.TestNormal: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3f060257-2e11-449d-998f-bef4f8fd1d41.dll" --benchmarkName "BenchmarkExamples.Boxing.BoxingBenchmark.TestNormal(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3f060257-2e11-449d-998f-bef4f8fd1d41\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 379300.00 ns, 379.3000 us/op
WorkloadJitting  1: 1 op, 700900.00 ns, 700.9000 us/op

OverheadJitting  2: 16 op, 472100.00 ns, 29.5063 us/op
WorkloadJitting  2: 16 op, 1651700.00 ns, 103.2313 us/op

WorkloadPilot    1: 16 op, 480100.00 ns, 30.0063 us/op
WorkloadPilot    2: 32 op, 1721800.00 ns, 53.8063 us/op
WorkloadPilot    3: 64 op, 3785800.00 ns, 59.1531 us/op
WorkloadPilot    4: 128 op, 4178700.00 ns, 32.6461 us/op
WorkloadPilot    5: 256 op, 7975300.00 ns, 31.1535 us/op
WorkloadPilot    6: 512 op, 22133000.00 ns, 43.2285 us/op
WorkloadPilot    7: 1024 op, 32643200.00 ns, 31.8781 us/op
WorkloadPilot    8: 2048 op, 56512100.00 ns, 27.5938 us/op
WorkloadPilot    9: 4096 op, 122402000.00 ns, 29.8833 us/op
WorkloadPilot   10: 8192 op, 232818000.00 ns, 28.4202 us/op
WorkloadPilot   11: 16384 op, 460597100.00 ns, 28.1126 us/op
WorkloadPilot   12: 32768 op, 907834500.00 ns, 27.7049 us/op

OverheadWarmup   1: 32768 op, 60600.00 ns, 1.8494 ns/op
OverheadWarmup   2: 32768 op, 66000.00 ns, 2.0142 ns/op
OverheadWarmup   3: 32768 op, 64100.00 ns, 1.9562 ns/op
OverheadWarmup   4: 32768 op, 64100.00 ns, 1.9562 ns/op
OverheadWarmup   5: 32768 op, 63200.00 ns, 1.9287 ns/op

OverheadActual   1: 32768 op, 58700.00 ns, 1.7914 ns/op
OverheadActual   2: 32768 op, 67200.00 ns, 2.0508 ns/op
OverheadActual   3: 32768 op, 64600.00 ns, 1.9714 ns/op
