// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1df0d3e3-fffc-44ac-b968-1e4b833826da
// command took 1.81s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1df0d3e3-fffc-44ac-b968-1e4b833826da
// command took 3.63s and exited with 0
// ***** Done, took 00:00:05 (5.61 sec)   *****
// Found 4 benchmarks:
//   BoxingBenchmark.TestingArrayList: DefaultJob [N=1000]
//   BoxingBenchmark.TestingObjectList: DefaultJob [N=1000]
//   BoxingBenchmark.TestingIntList: DefaultJob [N=1000]
//   BoxingBenchmark.TestingInterfaceList: DefaultJob [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BoxingBenchmark.TestingArrayList: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1df0d3e3-fffc-44ac-b968-1e4b833826da.dll" --benchmarkName "BenchmarkExamples.Boxing.BoxingBenchmark.TestingArrayList(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1df0d3e3-fffc-44ac-b968-1e4b833826da\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 319100.00 ns, 319.1000 us/op
WorkloadJitting  1: 1 op, 4173700.00 ns, 4.1737 ms/op

OverheadJitting  2: 16 op, 297600.00 ns, 18.6000 us/op
WorkloadJitting  2: 16 op, 40753100.00 ns, 2.5471 ms/op

WorkloadPilot    1: 16 op, 39166800.00 ns, 2.4479 ms/op
WorkloadPilot    2: 32 op, 78127900.00 ns, 2.4415 ms/op
WorkloadPilot    3: 64 op, 154228100.00 ns, 2.4098 ms/op
WorkloadPilot    4: 128 op, 317979300.00 ns, 2.4842 ms/op
WorkloadPilot    5: 256 op, 651562200.00 ns, 2.5452 ms/op

OverheadWarmup   1: 256 op, 3000.00 ns, 11.7188 ns/op
OverheadWarmup   2: 256 op, 900.00 ns, 3.5156 ns/op
OverheadWarmup   3: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   4: 256 op, 3100.00 ns, 12.1094 ns/op
OverheadWarmup   5: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadWarmup   6: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadWarmup   7: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   8: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   9: 256 op, 800.00 ns, 3.1250 ns/op

OverheadActual   1: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   2: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   3: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual   4: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   5: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   6: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   7: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual   8: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   9: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  10: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  11: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  12: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  13: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual  14: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual  15: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  16: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual  17: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  18: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  19: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  20: 256 op, 700.00 ns, 2.7344 ns/op

WorkloadWarmup   1: 256 op, 668164000.00 ns, 2.6100 ms/op
WorkloadWarmup   2: 256 op, 689205500.00 ns, 2.6922 ms/op
WorkloadWarmup   3: 256 op, 638983000.00 ns, 2.4960 ms/op
WorkloadWarmup   4: 256 op, 652469400.00 ns, 2.5487 ms/op
WorkloadWarmup   5: 256 op, 659227300.00 ns, 2.5751 ms/op
WorkloadWarmup   6: 256 op, 641879900.00 ns, 2.5073 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 641934500.00 ns, 2.5076 ms/op
WorkloadActual   2: 256 op, 624863600.00 ns, 2.4409 ms/op
WorkloadActual   3: 256 op, 612440700.00 ns, 2.3923 ms/op
WorkloadActual   4: 256 op, 611223600.00 ns, 2.3876 ms/op
WorkloadActual   5: 256 op, 618082000.00 ns, 2.4144 ms/op
WorkloadActual   6: 256 op, 614865800.00 ns, 2.4018 ms/op
WorkloadActual   7: 256 op, 612959900.00 ns, 2.3944 ms/op
WorkloadActual   8: 256 op, 612801600.00 ns, 2.3938 ms/op
WorkloadActual   9: 256 op, 618109200.00 ns, 2.4145 ms/op
WorkloadActual  10: 256 op, 614911800.00 ns, 2.4020 ms/op
WorkloadActual  11: 256 op, 616680200.00 ns, 2.4089 ms/op
WorkloadActual  12: 256 op, 612270500.00 ns, 2.3917 ms/op
WorkloadActual  13: 256 op, 654119400.00 ns, 2.5552 ms/op
WorkloadActual  14: 256 op, 665587300.00 ns, 2.6000 ms/op
WorkloadActual  15: 256 op, 678380800.00 ns, 2.6499 ms/op
WorkloadActual  16: 256 op, 690284100.00 ns, 2.6964 ms/op
WorkloadActual  17: 256 op, 671846600.00 ns, 2.6244 ms/op
WorkloadActual  18: 256 op, 663723100.00 ns, 2.5927 ms/op
WorkloadActual  19: 256 op, 660148200.00 ns, 2.5787 ms/op
WorkloadActual  20: 256 op, 662232700.00 ns, 2.5868 ms/op
WorkloadActual  21: 256 op, 629677500.00 ns, 2.4597 ms/op
WorkloadActual  22: 256 op, 678273600.00 ns, 2.6495 ms/op
WorkloadActual  23: 256 op, 615031600.00 ns, 2.4025 ms/op
WorkloadActual  24: 256 op, 637837600.00 ns, 2.4916 ms/op
WorkloadActual  25: 256 op, 614800800.00 ns, 2.4016 ms/op
WorkloadActual  26: 256 op, 653849400.00 ns, 2.5541 ms/op
WorkloadActual  27: 256 op, 712942000.00 ns, 2.7849 ms/op
WorkloadActual  28: 256 op, 746341700.00 ns, 2.9154 ms/op
WorkloadActual  29: 256 op, 725280700.00 ns, 2.8331 ms/op
WorkloadActual  30: 256 op, 687562500.00 ns, 2.6858 ms/op
WorkloadActual  31: 256 op, 699585400.00 ns, 2.7328 ms/op
WorkloadActual  32: 256 op, 681491800.00 ns, 2.6621 ms/op
WorkloadActual  33: 256 op, 682053500.00 ns, 2.6643 ms/op
WorkloadActual  34: 256 op, 658827700.00 ns, 2.5735 ms/op
WorkloadActual  35: 256 op, 664137400.00 ns, 2.5943 ms/op
WorkloadActual  36: 256 op, 636062400.00 ns, 2.4846 ms/op
WorkloadActual  37: 256 op, 655156000.00 ns, 2.5592 ms/op
WorkloadActual  38: 256 op, 647031800.00 ns, 2.5275 ms/op
WorkloadActual  39: 256 op, 622161500.00 ns, 2.4303 ms/op
WorkloadActual  40: 256 op, 615035200.00 ns, 2.4025 ms/op
WorkloadActual  41: 256 op, 620101300.00 ns, 2.4223 ms/op
WorkloadActual  42: 256 op, 627810900.00 ns, 2.4524 ms/op
WorkloadActual  43: 256 op, 621514100.00 ns, 2.4278 ms/op
WorkloadActual  44: 256 op, 620548500.00 ns, 2.4240 ms/op
WorkloadActual  45: 256 op, 617142600.00 ns, 2.4107 ms/op
WorkloadActual  46: 256 op, 615918300.00 ns, 2.4059 ms/op
WorkloadActual  47: 256 op, 880203400.00 ns, 3.4383 ms/op
WorkloadActual  48: 256 op, 616083100.00 ns, 2.4066 ms/op
WorkloadActual  49: 256 op, 608014800.00 ns, 2.3751 ms/op
WorkloadActual  50: 256 op, 610225400.00 ns, 2.3837 ms/op
WorkloadActual  51: 256 op, 607705600.00 ns, 2.3739 ms/op
WorkloadActual  52: 256 op, 610489100.00 ns, 2.3847 ms/op
WorkloadActual  53: 256 op, 610525400.00 ns, 2.3849 ms/op
WorkloadActual  54: 256 op, 611416400.00 ns, 2.3883 ms/op
WorkloadActual  55: 256 op, 610488600.00 ns, 2.3847 ms/op
WorkloadActual  56: 256 op, 611047200.00 ns, 2.3869 ms/op
WorkloadActual  57: 256 op, 613270500.00 ns, 2.3956 ms/op
WorkloadActual  58: 256 op, 613860400.00 ns, 2.3979 ms/op
WorkloadActual  59: 256 op, 613089600.00 ns, 2.3949 ms/op
WorkloadActual  60: 256 op, 610918300.00 ns, 2.3864 ms/op
WorkloadActual  61: 256 op, 612602500.00 ns, 2.3930 ms/op
WorkloadActual  62: 256 op, 614301300.00 ns, 2.3996 ms/op
WorkloadActual  63: 256 op, 879603600.00 ns, 3.4360 ms/op
WorkloadActual  64: 256 op, 614209900.00 ns, 2.3993 ms/op
WorkloadActual  65: 256 op, 608573000.00 ns, 2.3772 ms/op
WorkloadActual  66: 256 op, 609778400.00 ns, 2.3819 ms/op
WorkloadActual  67: 256 op, 605824400.00 ns, 2.3665 ms/op
WorkloadActual  68: 256 op, 610543100.00 ns, 2.3849 ms/op
WorkloadActual  69: 256 op, 603976900.00 ns, 2.3593 ms/op
WorkloadActual  70: 256 op, 611437600.00 ns, 2.3884 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 641933600.00 ns, 2.5076 ms/op
WorkloadResult   2: 256 op, 624862700.00 ns, 2.4409 ms/op
WorkloadResult   3: 256 op, 612439800.00 ns, 2.3923 ms/op
WorkloadResult   4: 256 op, 611222700.00 ns, 2.3876 ms/op
WorkloadResult   5: 256 op, 618081100.00 ns, 2.4144 ms/op
WorkloadResult   6: 256 op, 614864900.00 ns, 2.4018 ms/op
WorkloadResult   7: 256 op, 612959000.00 ns, 2.3944 ms/op
WorkloadResult   8: 256 op, 612800700.00 ns, 2.3938 ms/op
WorkloadResult   9: 256 op, 618108300.00 ns, 2.4145 ms/op
WorkloadResult  10: 256 op, 614910900.00 ns, 2.4020 ms/op
WorkloadResult  11: 256 op, 616679300.00 ns, 2.4089 ms/op
WorkloadResult  12: 256 op, 612269600.00 ns, 2.3917 ms/op
WorkloadResult  13: 256 op, 654118500.00 ns, 2.5552 ms/op
WorkloadResult  14: 256 op, 665586400.00 ns, 2.5999 ms/op
WorkloadResult  15: 256 op, 678379900.00 ns, 2.6499 ms/op
WorkloadResult  16: 256 op, 690283200.00 ns, 2.6964 ms/op
WorkloadResult  17: 256 op, 671845700.00 ns, 2.6244 ms/op
WorkloadResult  18: 256 op, 663722200.00 ns, 2.5927 ms/op
WorkloadResult  19: 256 op, 660147300.00 ns, 2.5787 ms/op
WorkloadResult  20: 256 op, 662231800.00 ns, 2.5868 ms/op
WorkloadResult  21: 256 op, 629676600.00 ns, 2.4597 ms/op
WorkloadResult  22: 256 op, 678272700.00 ns, 2.6495 ms/op
WorkloadResult  23: 256 op, 615030700.00 ns, 2.4025 ms/op
WorkloadResult  24: 256 op, 637836700.00 ns, 2.4915 ms/op
WorkloadResult  25: 256 op, 614799900.00 ns, 2.4016 ms/op
WorkloadResult  26: 256 op, 653848500.00 ns, 2.5541 ms/op
WorkloadResult  27: 256 op, 712941100.00 ns, 2.7849 ms/op
WorkloadResult  28: 256 op, 725279800.00 ns, 2.8331 ms/op
WorkloadResult  29: 256 op, 687561600.00 ns, 2.6858 ms/op
WorkloadResult  30: 256 op, 699584500.00 ns, 2.7328 ms/op
WorkloadResult  31: 256 op, 681490900.00 ns, 2.6621 ms/op
WorkloadResult  32: 256 op, 682052600.00 ns, 2.6643 ms/op
WorkloadResult  33: 256 op, 658826800.00 ns, 2.5735 ms/op
WorkloadResult  34: 256 op, 664136500.00 ns, 2.5943 ms/op
WorkloadResult  35: 256 op, 636061500.00 ns, 2.4846 ms/op
WorkloadResult  36: 256 op, 655155100.00 ns, 2.5592 ms/op
WorkloadResult  37: 256 op, 647030900.00 ns, 2.5275 ms/op
WorkloadResult  38: 256 op, 622160600.00 ns, 2.4303 ms/op
WorkloadResult  39: 256 op, 615034300.00 ns, 2.4025 ms/op
WorkloadResult  40: 256 op, 620100400.00 ns, 2.4223 ms/op
WorkloadResult  41: 256 op, 627810000.00 ns, 2.4524 ms/op
WorkloadResult  42: 256 op, 621513200.00 ns, 2.4278 ms/op
WorkloadResult  43: 256 op, 620547600.00 ns, 2.4240 ms/op
WorkloadResult  44: 256 op, 617141700.00 ns, 2.4107 ms/op
WorkloadResult  45: 256 op, 615917400.00 ns, 2.4059 ms/op
WorkloadResult  46: 256 op, 616082200.00 ns, 2.4066 ms/op
WorkloadResult  47: 256 op, 608013900.00 ns, 2.3751 ms/op
WorkloadResult  48: 256 op, 610224500.00 ns, 2.3837 ms/op
WorkloadResult  49: 256 op, 607704700.00 ns, 2.3738 ms/op
WorkloadResult  50: 256 op, 610488200.00 ns, 2.3847 ms/op
WorkloadResult  51: 256 op, 610524500.00 ns, 2.3849 ms/op
WorkloadResult  52: 256 op, 611415500.00 ns, 2.3883 ms/op
WorkloadResult  53: 256 op, 610487700.00 ns, 2.3847 ms/op
WorkloadResult  54: 256 op, 611046300.00 ns, 2.3869 ms/op
WorkloadResult  55: 256 op, 613269600.00 ns, 2.3956 ms/op
WorkloadResult  56: 256 op, 613859500.00 ns, 2.3979 ms/op
WorkloadResult  57: 256 op, 613088700.00 ns, 2.3949 ms/op
WorkloadResult  58: 256 op, 610917400.00 ns, 2.3864 ms/op
WorkloadResult  59: 256 op, 612601600.00 ns, 2.3930 ms/op
WorkloadResult  60: 256 op, 614300400.00 ns, 2.3996 ms/op
