// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\7f109abe-8514-44f5-a533-2ad2a10e4e4a
// command took 1.57s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\7f109abe-8514-44f5-a533-2ad2a10e4e4a
// command took 3s and exited with 0
// ***** Done, took 00:00:04 (4.72 sec)   *****
// Found 5 benchmarks:
//   DataStructuresAddBenchmark.ArrayAdd: DefaultJob [N=100]
//   DataStructuresAddBenchmark.ListAdd: DefaultJob [N=100]
//   DataStructuresAddBenchmark.SizedListAdd: DefaultJob [N=100]
//   DataStructuresAddBenchmark.HashSetAdd: DefaultJob [N=100]
//   DataStructuresAddBenchmark.DictionaryAdd: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: DataStructuresAddBenchmark.ArrayAdd: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7f109abe-8514-44f5-a533-2ad2a10e4e4a.dll" --benchmarkName "BenchmarkExamples.DataStructures.DataStructuresAddBenchmark.ArrayAdd(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\7f109abe-8514-44f5-a533-2ad2a10e4e4a\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 391400.00 ns, 391.4000 us/op
WorkloadJitting  1: 1 op, 415900.00 ns, 415.9000 us/op

OverheadJitting  2: 16 op, 315200.00 ns, 19.7000 us/op
WorkloadJitting  2: 16 op, 333900.00 ns, 20.8688 us/op

WorkloadPilot    1: 16 op, 5200.00 ns, 325.0000 ns/op
WorkloadPilot    2: 32 op, 4400.00 ns, 137.5000 ns/op
WorkloadPilot    3: 64 op, 7500.00 ns, 117.1875 ns/op
WorkloadPilot    4: 128 op, 21300.00 ns, 166.4063 ns/op
WorkloadPilot    5: 256 op, 26600.00 ns, 103.9063 ns/op
WorkloadPilot    6: 512 op, 74900.00 ns, 146.2891 ns/op
WorkloadPilot    7: 1024 op, 149200.00 ns, 145.7031 ns/op
WorkloadPilot    8: 2048 op, 329800.00 ns, 161.0352 ns/op
WorkloadPilot    9: 4096 op, 1171500.00 ns, 286.0107 ns/op
WorkloadPilot   10: 8192 op, 1880500.00 ns, 229.5532 ns/op
WorkloadPilot   11: 16384 op, 2136700.00 ns, 130.4138 ns/op
WorkloadPilot   12: 32768 op, 5151500.00 ns, 157.2113 ns/op
WorkloadPilot   13: 65536 op, 10384800.00 ns, 158.4595 ns/op
WorkloadPilot   14: 131072 op, 21712500.00 ns, 165.6532 ns/op
WorkloadPilot   15: 262144 op, 35516300.00 ns, 135.4839 ns/op
WorkloadPilot   16: 524288 op, 62134300.00 ns, 118.5118 ns/op
WorkloadPilot   17: 1048576 op, 108267900.00 ns, 103.2523 ns/op
WorkloadPilot   18: 2097152 op, 201179400.00 ns, 95.9298 ns/op
WorkloadPilot   19: 4194304 op, 378942700.00 ns, 90.3470 ns/op
WorkloadPilot   20: 8388608 op, 750069000.00 ns, 89.4152 ns/op

OverheadWarmup   1: 8388608 op, 14572900.00 ns, 1.7372 ns/op
OverheadWarmup   2: 8388608 op, 14392900.00 ns, 1.7158 ns/op
OverheadWarmup   3: 8388608 op, 15038000.00 ns, 1.7927 ns/op
OverheadWarmup   4: 8388608 op, 14500200.00 ns, 1.7286 ns/op
OverheadWarmup   5: 8388608 op, 14510900.00 ns, 1.7298 ns/op
OverheadWarmup   6: 8388608 op, 14594300.00 ns, 1.7398 ns/op
OverheadWarmup   7: 8388608 op, 15068000.00 ns, 1.7962 ns/op
OverheadWarmup   8: 8388608 op, 14829800.00 ns, 1.7678 ns/op

OverheadActual   1: 8388608 op, 15016400.00 ns, 1.7901 ns/op
OverheadActual   2: 8388608 op, 14205000.00 ns, 1.6934 ns/op
OverheadActual   3: 8388608 op, 14350400.00 ns, 1.7107 ns/op
OverheadActual   4: 8388608 op, 13970100.00 ns, 1.6654 ns/op
OverheadActual   5: 8388608 op, 14493800.00 ns, 1.7278 ns/op
OverheadActual   6: 8388608 op, 15391800.00 ns, 1.8348 ns/op
OverheadActual   7: 8388608 op, 15082100.00 ns, 1.7979 ns/op
OverheadActual   8: 8388608 op, 15067900.00 ns, 1.7962 ns/op
OverheadActual   9: 8388608 op, 14782900.00 ns, 1.7623 ns/op
OverheadActual  10: 8388608 op, 14845700.00 ns, 1.7697 ns/op
OverheadActual  11: 8388608 op, 15447300.00 ns, 1.8415 ns/op
OverheadActual  12: 8388608 op, 14700200.00 ns, 1.7524 ns/op
OverheadActual  13: 8388608 op, 16146300.00 ns, 1.9248 ns/op
OverheadActual  14: 8388608 op, 14396400.00 ns, 1.7162 ns/op
OverheadActual  15: 8388608 op, 15440900.00 ns, 1.8407 ns/op

WorkloadWarmup   1: 8388608 op, 724707000.00 ns, 86.3918 ns/op
WorkloadWarmup   2: 8388608 op, 735168100.00 ns, 87.6389 ns/op
WorkloadWarmup   3: 8388608 op, 762581800.00 ns, 90.9068 ns/op
WorkloadWarmup   4: 8388608 op, 804754700.00 ns, 95.9342 ns/op
WorkloadWarmup   5: 8388608 op, 809406200.00 ns, 96.4887 ns/op
WorkloadWarmup   6: 8388608 op, 820112500.00 ns, 97.7650 ns/op
WorkloadWarmup   7: 8388608 op, 917538800.00 ns, 109.3791 ns/op
WorkloadWarmup   8: 8388608 op, 857440900.00 ns, 102.2149 ns/op
WorkloadWarmup   9: 8388608 op, 773986200.00 ns, 92.2663 ns/op
WorkloadWarmup  10: 8388608 op, 848021700.00 ns, 101.0921 ns/op
WorkloadWarmup  11: 8388608 op, 914010000.00 ns, 108.9585 ns/op
WorkloadWarmup  12: 8388608 op, 949055200.00 ns, 113.1362 ns/op
WorkloadWarmup  13: 8388608 op, 878105700.00 ns, 104.6784 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 1107368200.00 ns, 132.0086 ns/op
WorkloadActual   2: 8388608 op, 1030755200.00 ns, 122.8756 ns/op
WorkloadActual   3: 8388608 op, 909453100.00 ns, 108.4153 ns/op
WorkloadActual   4: 8388608 op, 989022100.00 ns, 117.9006 ns/op
WorkloadActual   5: 8388608 op, 1313609000.00 ns, 156.5944 ns/op
WorkloadActual   6: 8388608 op, 1147072200.00 ns, 136.7417 ns/op
WorkloadActual   7: 8388608 op, 1039564400.00 ns, 123.9257 ns/op
WorkloadActual   8: 8388608 op, 874689800.00 ns, 104.2711 ns/op
WorkloadActual   9: 8388608 op, 779145300.00 ns, 92.8814 ns/op
WorkloadActual  10: 8388608 op, 752477800.00 ns, 89.7023 ns/op
WorkloadActual  11: 8388608 op, 784253800.00 ns, 93.4903 ns/op
WorkloadActual  12: 8388608 op, 773475400.00 ns, 92.2055 ns/op
WorkloadActual  13: 8388608 op, 751640500.00 ns, 89.6025 ns/op
WorkloadActual  14: 8388608 op, 754444500.00 ns, 89.9368 ns/op
WorkloadActual  15: 8388608 op, 752559800.00 ns, 89.7121 ns/op
WorkloadActual  16: 8388608 op, 963928600.00 ns, 114.9092 ns/op
WorkloadActual  17: 8388608 op, 979444400.00 ns, 116.7589 ns/op
WorkloadActual  18: 8388608 op, 995469100.00 ns, 118.6692 ns/op
WorkloadActual  19: 8388608 op, 752524700.00 ns, 89.7079 ns/op
WorkloadActual  20: 8388608 op, 749933800.00 ns, 89.3991 ns/op
WorkloadActual  21: 8388608 op, 751540800.00 ns, 89.5906 ns/op
WorkloadActual  22: 8388608 op, 745518400.00 ns, 88.8727 ns/op
WorkloadActual  23: 8388608 op, 790971200.00 ns, 94.2911 ns/op
WorkloadActual  24: 8388608 op, 759269900.00 ns, 90.5120 ns/op
WorkloadActual  25: 8388608 op, 751667800.00 ns, 89.6058 ns/op
WorkloadActual  26: 8388608 op, 747218200.00 ns, 89.0754 ns/op
WorkloadActual  27: 8388608 op, 742677400.00 ns, 88.5340 ns/op
WorkloadActual  28: 8388608 op, 749340000.00 ns, 89.3283 ns/op
WorkloadActual  29: 8388608 op, 741303200.00 ns, 88.3702 ns/op
WorkloadActual  30: 8388608 op, 787526200.00 ns, 93.8804 ns/op
WorkloadActual  31: 8388608 op, 917512500.00 ns, 109.3760 ns/op
WorkloadActual  32: 8388608 op, 813801700.00 ns, 97.0127 ns/op
WorkloadActual  33: 8388608 op, 803039600.00 ns, 95.7298 ns/op
WorkloadActual  34: 8388608 op, 770326900.00 ns, 91.8301 ns/op
WorkloadActual  35: 8388608 op, 823239900.00 ns, 98.1378 ns/op
