// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0139740b-61f8-4fee-9fd9-ee9a7c0b0fab
// command took 1.81s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0139740b-61f8-4fee-9fd9-ee9a7c0b0fab
// command took 3.01s and exited with 0
// ***** Done, took 00:00:04 (4.97 sec)   *****
// Found 5 benchmarks:
//   DataStructuresAddRemoveBenchmark.ArrayAddAndRemove: DefaultJob [N=100]
//   DataStructuresAddRemoveBenchmark.ListAddAndRemove: DefaultJob [N=100]
//   DataStructuresAddRemoveBenchmark.SizedListAddAndRemove: DefaultJob [N=100]
//   DataStructuresAddRemoveBenchmark.HashSetAddAndRemove: DefaultJob [N=100]
//   DataStructuresAddRemoveBenchmark.DictionaryAddRemove: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: DataStructuresAddRemoveBenchmark.ArrayAddAndRemove: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0139740b-61f8-4fee-9fd9-ee9a7c0b0fab.dll" --benchmarkName "BenchmarkExamples.DataStructures.DataStructuresAddRemoveBenchmark.ArrayAddAndRemove(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0139740b-61f8-4fee-9fd9-ee9a7c0b0fab\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 316800.00 ns, 316.8000 us/op
WorkloadJitting  1: 1 op, 684000.00 ns, 684.0000 us/op

OverheadJitting  2: 16 op, 411500.00 ns, 25.7188 us/op
WorkloadJitting  2: 16 op, 507000.00 ns, 31.6875 us/op

WorkloadPilot    1: 16 op, 177700.00 ns, 11.1063 us/op
WorkloadPilot    2: 32 op, 249200.00 ns, 7.7875 us/op
WorkloadPilot    3: 64 op, 590400.00 ns, 9.2250 us/op
WorkloadPilot    4: 128 op, 1140600.00 ns, 8.9109 us/op
WorkloadPilot    5: 256 op, 2084700.00 ns, 8.1434 us/op
WorkloadPilot    6: 512 op, 4443000.00 ns, 8.6777 us/op
WorkloadPilot    7: 1024 op, 9348100.00 ns, 9.1290 us/op
WorkloadPilot    8: 2048 op, 17413600.00 ns, 8.5027 us/op
WorkloadPilot    9: 4096 op, 34598100.00 ns, 8.4468 us/op
WorkloadPilot   10: 8192 op, 67132200.00 ns, 8.1948 us/op
WorkloadPilot   11: 16384 op, 136165900.00 ns, 8.3109 us/op
WorkloadPilot   12: 32768 op, 267190900.00 ns, 8.1540 us/op
