// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1a562698-12f7-408f-91f7-77543c3f455f
// command took 2.34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1a562698-12f7-408f-91f7-77543c3f455f
// command took 4.74s and exited with 0
// ***** Done, took 00:00:07 (7.27 sec)   *****
// Found 2 benchmarks:
//   DynamicBenchmark.SumOneTo100: DefaultJob [N=100]
//   DynamicBenchmark.DynamicSumOneTo100: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: DynamicBenchmark.SumOneTo100: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1a562698-12f7-408f-91f7-77543c3f455f.dll" --benchmarkName "BenchmarkExamples.Dynamic.DynamicBenchmark.SumOneTo100(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1a562698-12f7-408f-91f7-77543c3f455f\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 394000.00 ns, 394.0000 us/op
WorkloadJitting  1: 1 op, 269300.00 ns, 269.3000 us/op

OverheadJitting  2: 16 op, 441900.00 ns, 27.6188 us/op
WorkloadJitting  2: 16 op, 1326900.00 ns, 82.9313 us/op

WorkloadPilot    1: 16 op, 3400.00 ns, 212.5000 ns/op
WorkloadPilot    2: 32 op, 1600.00 ns, 50.0000 ns/op
WorkloadPilot    3: 64 op, 3000.00 ns, 46.8750 ns/op
WorkloadPilot    4: 128 op, 9700.00 ns, 75.7813 ns/op
WorkloadPilot    5: 256 op, 17800.00 ns, 69.5313 ns/op
WorkloadPilot    6: 512 op, 20000.00 ns, 39.0625 ns/op
WorkloadPilot    7: 1024 op, 39600.00 ns, 38.6719 ns/op
WorkloadPilot    8: 2048 op, 140100.00 ns, 68.4082 ns/op
WorkloadPilot    9: 4096 op, 286900.00 ns, 70.0439 ns/op
WorkloadPilot   10: 8192 op, 314800.00 ns, 38.4277 ns/op
WorkloadPilot   11: 16384 op, 903800.00 ns, 55.1636 ns/op
WorkloadPilot   12: 32768 op, 2010900.00 ns, 61.3678 ns/op
WorkloadPilot   13: 65536 op, 3338700.00 ns, 50.9445 ns/op
WorkloadPilot   14: 131072 op, 5366000.00 ns, 40.9393 ns/op
WorkloadPilot   15: 262144 op, 10522500.00 ns, 40.1402 ns/op
WorkloadPilot   16: 524288 op, 20646100.00 ns, 39.3793 ns/op
WorkloadPilot   17: 1048576 op, 41364200.00 ns, 39.4480 ns/op
WorkloadPilot   18: 2097152 op, 99048700.00 ns, 47.2301 ns/op
WorkloadPilot   19: 4194304 op, 220824100.00 ns, 52.6486 ns/op
WorkloadPilot   20: 8388608 op, 360522800.00 ns, 42.9777 ns/op
