// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6104c4a9-ea8a-4a5d-a06d-c94584eea1a9
// command took 2.42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6104c4a9-ea8a-4a5d-a06d-c94584eea1a9
// command took 3.87s and exited with 0
// ***** Done, took 00:00:06 (6.55 sec)   *****
// Found 6 benchmarks:
//   DynamicBenchmark.SumOneTo100: DefaultJob [N=100]
//   DynamicBenchmark.DynamicSumOneTo100: DefaultJob [N=100]
//   DynamicBenchmark.StringConcat: DefaultJob [N=100]
//   DynamicBenchmark.DynamicStringConcat: DefaultJob [N=100]
//   DynamicBenchmark.FormatUser: DefaultJob [N=100]
//   DynamicBenchmark.DynamicallyFormatUser: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: DynamicBenchmark.SumOneTo100: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "6104c4a9-ea8a-4a5d-a06d-c94584eea1a9.dll" --benchmarkName "BenchmarkExamples.Dynamic.DynamicBenchmark.SumOneTo100(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6104c4a9-ea8a-4a5d-a06d-c94584eea1a9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 316300.00 ns, 316.3000 us/op
WorkloadJitting  1: 1 op, 235700.00 ns, 235.7000 us/op

OverheadJitting  2: 16 op, 278500.00 ns, 17.4063 us/op
WorkloadJitting  2: 16 op, 450400.00 ns, 28.1500 us/op

WorkloadPilot    1: 16 op, 3000.00 ns, 187.5000 ns/op
WorkloadPilot    2: 32 op, 1600.00 ns, 50.0000 ns/op
WorkloadPilot    3: 64 op, 2800.00 ns, 43.7500 ns/op
WorkloadPilot    4: 128 op, 5300.00 ns, 41.4063 ns/op
WorkloadPilot    5: 256 op, 10200.00 ns, 39.8438 ns/op
WorkloadPilot    6: 512 op, 20700.00 ns, 40.4297 ns/op
WorkloadPilot    7: 1024 op, 40900.00 ns, 39.9414 ns/op
WorkloadPilot    8: 2048 op, 117000.00 ns, 57.1289 ns/op
WorkloadPilot    9: 4096 op, 225700.00 ns, 55.1025 ns/op
WorkloadPilot   10: 8192 op, 325300.00 ns, 39.7095 ns/op
WorkloadPilot   11: 16384 op, 684200.00 ns, 41.7603 ns/op
WorkloadPilot   12: 32768 op, 1411300.00 ns, 43.0695 ns/op
WorkloadPilot   13: 65536 op, 2571400.00 ns, 39.2365 ns/op
WorkloadPilot   14: 131072 op, 5359400.00 ns, 40.8890 ns/op
WorkloadPilot   15: 262144 op, 10770200.00 ns, 41.0851 ns/op
WorkloadPilot   16: 524288 op, 21673900.00 ns, 41.3397 ns/op
WorkloadPilot   17: 1048576 op, 42247100.00 ns, 40.2900 ns/op
WorkloadPilot   18: 2097152 op, 84012400.00 ns, 40.0602 ns/op
WorkloadPilot   19: 4194304 op, 167730400.00 ns, 39.9900 ns/op
WorkloadPilot   20: 8388608 op, 328722400.00 ns, 39.1868 ns/op
WorkloadPilot   21: 16777216 op, 659410000.00 ns, 39.3039 ns/op

OverheadWarmup   1: 16777216 op, 30353900.00 ns, 1.8092 ns/op
OverheadWarmup   2: 16777216 op, 30175100.00 ns, 1.7986 ns/op
OverheadWarmup   3: 16777216 op, 30491500.00 ns, 1.8174 ns/op
OverheadWarmup   4: 16777216 op, 30233400.00 ns, 1.8021 ns/op
OverheadWarmup   5: 16777216 op, 31382200.00 ns, 1.8705 ns/op
OverheadWarmup   6: 16777216 op, 31161200.00 ns, 1.8574 ns/op

OverheadActual   1: 16777216 op, 29707800.00 ns, 1.7707 ns/op
OverheadActual   2: 16777216 op, 29487800.00 ns, 1.7576 ns/op
OverheadActual   3: 16777216 op, 29513300.00 ns, 1.7591 ns/op
OverheadActual   4: 16777216 op, 29247900.00 ns, 1.7433 ns/op
OverheadActual   5: 16777216 op, 29639600.00 ns, 1.7667 ns/op
OverheadActual   6: 16777216 op, 29425000.00 ns, 1.7539 ns/op
OverheadActual   7: 16777216 op, 29227100.00 ns, 1.7421 ns/op
OverheadActual   8: 16777216 op, 30867300.00 ns, 1.8398 ns/op
OverheadActual   9: 16777216 op, 31011800.00 ns, 1.8484 ns/op
OverheadActual  10: 16777216 op, 30078400.00 ns, 1.7928 ns/op
OverheadActual  11: 16777216 op, 29369900.00 ns, 1.7506 ns/op
OverheadActual  12: 16777216 op, 30376200.00 ns, 1.8106 ns/op
OverheadActual  13: 16777216 op, 30291600.00 ns, 1.8055 ns/op
OverheadActual  14: 16777216 op, 29792900.00 ns, 1.7758 ns/op
OverheadActual  15: 16777216 op, 29470100.00 ns, 1.7566 ns/op

WorkloadWarmup   1: 16777216 op, 672428200.00 ns, 40.0798 ns/op
WorkloadWarmup   2: 16777216 op, 717364300.00 ns, 42.7582 ns/op
WorkloadWarmup   3: 16777216 op, 799853800.00 ns, 47.6750 ns/op
WorkloadWarmup   4: 16777216 op, 782460600.00 ns, 46.6383 ns/op
WorkloadWarmup   5: 16777216 op, 957028200.00 ns, 57.0433 ns/op
WorkloadWarmup   6: 16777216 op, 840147600.00 ns, 50.0767 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 785300900.00 ns, 46.8076 ns/op
WorkloadActual   2: 16777216 op, 713438400.00 ns, 42.5242 ns/op
WorkloadActual   3: 16777216 op, 812120100.00 ns, 48.4061 ns/op
WorkloadActual   4: 16777216 op, 764478800.00 ns, 45.5665 ns/op
WorkloadActual   5: 16777216 op, 798746300.00 ns, 47.6090 ns/op
WorkloadActual   6: 16777216 op, 811691200.00 ns, 48.3806 ns/op
WorkloadActual   7: 16777216 op, 904103800.00 ns, 53.8888 ns/op
WorkloadActual   8: 16777216 op, 915639800.00 ns, 54.5764 ns/op
WorkloadActual   9: 16777216 op, 786837400.00 ns, 46.8992 ns/op
WorkloadActual  10: 16777216 op, 823718100.00 ns, 49.0974 ns/op
WorkloadActual  11: 16777216 op, 786470500.00 ns, 46.8773 ns/op
WorkloadActual  12: 16777216 op, 848652300.00 ns, 50.5836 ns/op
WorkloadActual  13: 16777216 op, 904126900.00 ns, 53.8902 ns/op
WorkloadActual  14: 16777216 op, 774691600.00 ns, 46.1752 ns/op
WorkloadActual  15: 16777216 op, 738244700.00 ns, 44.0028 ns/op
WorkloadActual  16: 16777216 op, 864664900.00 ns, 51.5380 ns/op
WorkloadActual  17: 16777216 op, 777642800.00 ns, 46.3511 ns/op
WorkloadActual  18: 16777216 op, 767543800.00 ns, 45.7492 ns/op
WorkloadActual  19: 16777216 op, 717244100.00 ns, 42.7511 ns/op
WorkloadActual  20: 16777216 op, 676342100.00 ns, 40.3131 ns/op
WorkloadActual  21: 16777216 op, 682192800.00 ns, 40.6619 ns/op
WorkloadActual  22: 16777216 op, 671216400.00 ns, 40.0076 ns/op
WorkloadActual  23: 16777216 op, 651565600.00 ns, 38.8363 ns/op
WorkloadActual  24: 16777216 op, 655472300.00 ns, 39.0692 ns/op
WorkloadActual  25: 16777216 op, 658364100.00 ns, 39.2416 ns/op
WorkloadActual  26: 16777216 op, 658382400.00 ns, 39.2426 ns/op
WorkloadActual  27: 16777216 op, 681088000.00 ns, 40.5960 ns/op
WorkloadActual  28: 16777216 op, 695486800.00 ns, 41.4542 ns/op
WorkloadActual  29: 16777216 op, 749712000.00 ns, 44.6863 ns/op
WorkloadActual  30: 16777216 op, 843762400.00 ns, 50.2922 ns/op
WorkloadActual  31: 16777216 op, 840188000.00 ns, 50.0791 ns/op
WorkloadActual  32: 16777216 op, 891477400.00 ns, 53.1362 ns/op
WorkloadActual  33: 16777216 op, 898452900.00 ns, 53.5520 ns/op
WorkloadActual  34: 16777216 op, 777385200.00 ns, 46.3358 ns/op
WorkloadActual  35: 16777216 op, 765822300.00 ns, 45.6466 ns/op
WorkloadActual  36: 16777216 op, 849538000.00 ns, 50.6364 ns/op
WorkloadActual  37: 16777216 op, 867283700.00 ns, 51.6941 ns/op
WorkloadActual  38: 16777216 op, 780066000.00 ns, 46.4956 ns/op
WorkloadActual  39: 16777216 op, 817612400.00 ns, 48.7335 ns/op
WorkloadActual  40: 16777216 op, 958548100.00 ns, 57.1339 ns/op
WorkloadActual  41: 16777216 op, 839100300.00 ns, 50.0143 ns/op
WorkloadActual  42: 16777216 op, 761189100.00 ns, 45.3704 ns/op
WorkloadActual  43: 16777216 op, 914743300.00 ns, 54.5229 ns/op
WorkloadActual  44: 16777216 op, 811647700.00 ns, 48.3780 ns/op
WorkloadActual  45: 16777216 op, 811351800.00 ns, 48.3603 ns/op
WorkloadActual  46: 16777216 op, 798425600.00 ns, 47.5899 ns/op
WorkloadActual  47: 16777216 op, 902652900.00 ns, 53.8023 ns/op
WorkloadActual  48: 16777216 op, 752247200.00 ns, 44.8374 ns/op
WorkloadActual  49: 16777216 op, 877254400.00 ns, 52.2884 ns/op
WorkloadActual  50: 16777216 op, 770829300.00 ns, 45.9450 ns/op
WorkloadActual  51: 16777216 op, 780224200.00 ns, 46.5050 ns/op
WorkloadActual  52: 16777216 op, 685832500.00 ns, 40.8788 ns/op
WorkloadActual  53: 16777216 op, 675071300.00 ns, 40.2374 ns/op
WorkloadActual  54: 16777216 op, 659076400.00 ns, 39.2840 ns/op
WorkloadActual  55: 16777216 op, 651132800.00 ns, 38.8105 ns/op
WorkloadActual  56: 16777216 op, 1135929000.00 ns, 67.7066 ns/op
WorkloadActual  57: 16777216 op, 658163400.00 ns, 39.2296 ns/op
WorkloadActual  58: 16777216 op, 683444300.00 ns, 40.7365 ns/op
WorkloadActual  59: 16777216 op, 675275500.00 ns, 40.2496 ns/op
WorkloadActual  60: 16777216 op, 680138700.00 ns, 40.5394 ns/op
WorkloadActual  61: 16777216 op, 741146200.00 ns, 44.1758 ns/op
WorkloadActual  62: 16777216 op, 805040700.00 ns, 47.9842 ns/op
WorkloadActual  63: 16777216 op, 817749900.00 ns, 48.7417 ns/op
WorkloadActual  64: 16777216 op, 858134000.00 ns, 51.1488 ns/op
WorkloadActual  65: 16777216 op, 883780600.00 ns, 52.6774 ns/op
WorkloadActual  66: 16777216 op, 1066257200.00 ns, 63.5539 ns/op
WorkloadActual  67: 16777216 op, 1178543600.00 ns, 70.2467 ns/op
WorkloadActual  68: 16777216 op, 1085400600.00 ns, 64.6949 ns/op
WorkloadActual  69: 16777216 op, 1156542200.00 ns, 68.9353 ns/op
WorkloadActual  70: 16777216 op, 1254693200.00 ns, 74.7855 ns/op
WorkloadActual  71: 16777216 op, 1181010100.00 ns, 70.3937 ns/op
WorkloadActual  72: 16777216 op, 736565700.00 ns, 43.9027 ns/op
WorkloadActual  73: 16777216 op, 832879800.00 ns, 49.6435 ns/op
WorkloadActual  74: 16777216 op, 824610900.00 ns, 49.1506 ns/op
WorkloadActual  75: 16777216 op, 761975300.00 ns, 45.4173 ns/op
WorkloadActual  76: 16777216 op, 780254400.00 ns, 46.5068 ns/op
WorkloadActual  77: 16777216 op, 699305800.00 ns, 41.6819 ns/op
WorkloadActual  78: 16777216 op, 728393200.00 ns, 43.4156 ns/op
WorkloadActual  79: 16777216 op, 790568300.00 ns, 47.1215 ns/op
WorkloadActual  80: 16777216 op, 790186600.00 ns, 47.0988 ns/op
WorkloadActual  81: 16777216 op, 686047600.00 ns, 40.8916 ns/op
WorkloadActual  82: 16777216 op, 686480500.00 ns, 40.9174 ns/op
WorkloadActual  83: 16777216 op, 677506000.00 ns, 40.3825 ns/op
WorkloadActual  84: 16777216 op, 656496300.00 ns, 39.1302 ns/op
WorkloadActual  85: 16777216 op, 646881500.00 ns, 38.5571 ns/op
WorkloadActual  86: 16777216 op, 650538000.00 ns, 38.7751 ns/op
WorkloadActual  87: 16777216 op, 666628200.00 ns, 39.7341 ns/op
WorkloadActual  88: 16777216 op, 662630000.00 ns, 39.4958 ns/op
WorkloadActual  89: 16777216 op, 676925800.00 ns, 40.3479 ns/op
WorkloadActual  90: 16777216 op, 670910800.00 ns, 39.9894 ns/op
WorkloadActual  91: 16777216 op, 724187700.00 ns, 43.1650 ns/op
WorkloadActual  92: 16777216 op, 773100000.00 ns, 46.0804 ns/op
WorkloadActual  93: 16777216 op, 804934600.00 ns, 47.9778 ns/op
