// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\b55b6c90-b73b-4a37-9a8d-4da041c10e34
// command took 1.86s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\b55b6c90-b73b-4a37-9a8d-4da041c10e34
// command took 4.13s and exited with 0
// ***** Done, took 00:00:06 (6.15 sec)   *****
// Found 4 benchmarks:
//   DynamicBenchmark.SumOneToN: DefaultJob [N=100]
//   DynamicBenchmark.DynamicSumOneToN: DefaultJob [N=100]
//   DynamicBenchmark.SumOneToN: DefaultJob [N=10000]
//   DynamicBenchmark.DynamicSumOneToN: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: DynamicBenchmark.SumOneToN: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b55b6c90-b73b-4a37-9a8d-4da041c10e34.dll" --benchmarkName "BenchmarkExamples.Dynamic.DynamicBenchmark.SumOneToN(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\b55b6c90-b73b-4a37-9a8d-4da041c10e34\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 471700.00 ns, 471.7000 us/op
WorkloadJitting  1: 1 op, 487000.00 ns, 487.0000 us/op

OverheadJitting  2: 16 op, 591300.00 ns, 36.9563 us/op
WorkloadJitting  2: 16 op, 545300.00 ns, 34.0813 us/op

WorkloadPilot    1: 16 op, 4500.00 ns, 281.2500 ns/op
WorkloadPilot    2: 32 op, 2700.00 ns, 84.3750 ns/op
WorkloadPilot    3: 64 op, 6300.00 ns, 98.4375 ns/op
WorkloadPilot    4: 128 op, 8700.00 ns, 67.9688 ns/op
WorkloadPilot    5: 256 op, 25600.00 ns, 100.0000 ns/op
WorkloadPilot    6: 512 op, 34100.00 ns, 66.6016 ns/op
WorkloadPilot    7: 1024 op, 71100.00 ns, 69.4336 ns/op
WorkloadPilot    8: 2048 op, 162200.00 ns, 79.1992 ns/op
WorkloadPilot    9: 4096 op, 461200.00 ns, 112.5977 ns/op
WorkloadPilot   10: 8192 op, 679100.00 ns, 82.8979 ns/op
WorkloadPilot   11: 16384 op, 1307900.00 ns, 79.8279 ns/op
WorkloadPilot   12: 32768 op, 2193900.00 ns, 66.9525 ns/op
WorkloadPilot   13: 65536 op, 3602300.00 ns, 54.9667 ns/op
WorkloadPilot   14: 131072 op, 9837600.00 ns, 75.0549 ns/op
WorkloadPilot   15: 262144 op, 15422600.00 ns, 58.8326 ns/op
WorkloadPilot   16: 524288 op, 30626200.00 ns, 58.4148 ns/op
WorkloadPilot   17: 1048576 op, 72093800.00 ns, 68.7540 ns/op
WorkloadPilot   18: 2097152 op, 137718000.00 ns, 65.6691 ns/op
WorkloadPilot   19: 4194304 op, 206518100.00 ns, 49.2378 ns/op
WorkloadPilot   20: 8388608 op, 476663400.00 ns, 56.8227 ns/op
WorkloadPilot   21: 16777216 op, 935050000.00 ns, 55.7333 ns/op

