// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 9 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1abb033e-4146-436c-a48e-2c8e20aefedb
// command took 2.07s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1abb033e-4146-436c-a48e-2c8e20aefedb
// command took 3.96s and exited with 0
// ***** Done, took 00:00:06 (6.2 sec)   *****
// Found 9 benchmarks:
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=100]
//   ForLoopBenchmark.ForEachLoop: DefaultJob [N=100]
//   ForLoopBenchmark.WithIndexLoop: DefaultJob [N=100]
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=10000]
//   ForLoopBenchmark.ForEachLoop: DefaultJob [N=10000]
//   ForLoopBenchmark.WithIndexLoop: DefaultJob [N=10000]
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=100000]
//   ForLoopBenchmark.ForEachLoop: DefaultJob [N=100000]
//   ForLoopBenchmark.WithIndexLoop: DefaultJob [N=100000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForLoopBenchmark.RegularForLoop: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1abb033e-4146-436c-a48e-2c8e20aefedb.dll" --benchmarkName "BenchmarkExamples.ForLoop.ForLoopBenchmark.RegularForLoop(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1abb033e-4146-436c-a48e-2c8e20aefedb\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.7 (CoreCLR 4.6.28008.02, CoreFX 4.6.28008.03), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 757200.00 ns, 757.2000 us/op
WorkloadJitting  1: 1 op, 477300.00 ns, 477.3000 us/op

OverheadJitting  2: 16 op, 1334700.00 ns, 83.4188 us/op
WorkloadJitting  2: 16 op, 827100.00 ns, 51.6938 us/op

WorkloadPilot    1: 16 op, 8200.00 ns, 512.5000 ns/op
WorkloadPilot    2: 32 op, 7100.00 ns, 221.8750 ns/op
WorkloadPilot    3: 64 op, 6300.00 ns, 98.4375 ns/op
WorkloadPilot    4: 128 op, 10000.00 ns, 78.1250 ns/op
WorkloadPilot    5: 256 op, 33100.00 ns, 129.2969 ns/op
WorkloadPilot    6: 512 op, 77400.00 ns, 151.1719 ns/op
WorkloadPilot    7: 1024 op, 364600.00 ns, 356.0547 ns/op
WorkloadPilot    8: 2048 op, 665000.00 ns, 324.7070 ns/op
WorkloadPilot    9: 4096 op, 712900.00 ns, 174.0479 ns/op
WorkloadPilot   10: 8192 op, 1711600.00 ns, 208.9355 ns/op
WorkloadPilot   11: 16384 op, 1385100.00 ns, 84.5398 ns/op
WorkloadPilot   12: 32768 op, 3061700.00 ns, 93.4357 ns/op
WorkloadPilot   13: 65536 op, 5828800.00 ns, 88.9404 ns/op
WorkloadPilot   14: 131072 op, 18016500.00 ns, 137.4550 ns/op
WorkloadPilot   15: 262144 op, 25700600.00 ns, 98.0400 ns/op
WorkloadPilot   16: 524288 op, 47343300.00 ns, 90.3002 ns/op
WorkloadPilot   17: 1048576 op, 111647600.00 ns, 106.4754 ns/op
WorkloadPilot   18: 2097152 op, 165222200.00 ns, 78.7841 ns/op
WorkloadPilot   19: 4194304 op, 348798100.00 ns, 83.1599 ns/op
WorkloadPilot   20: 8388608 op, 625623900.00 ns, 74.5802 ns/op

OverheadWarmup   1: 8388608 op, 14810400.00 ns, 1.7655 ns/op
OverheadWarmup   2: 8388608 op, 14553700.00 ns, 1.7349 ns/op
OverheadWarmup   3: 8388608 op, 14959200.00 ns, 1.7833 ns/op
OverheadWarmup   4: 8388608 op, 15462100.00 ns, 1.8432 ns/op
OverheadWarmup   5: 8388608 op, 15500000.00 ns, 1.8477 ns/op
OverheadWarmup   6: 8388608 op, 15153700.00 ns, 1.8065 ns/op
OverheadWarmup   7: 8388608 op, 15075700.00 ns, 1.7972 ns/op
OverheadWarmup   8: 8388608 op, 14808200.00 ns, 1.7653 ns/op
OverheadWarmup   9: 8388608 op, 15141700.00 ns, 1.8050 ns/op
OverheadWarmup  10: 8388608 op, 15004100.00 ns, 1.7886 ns/op

OverheadActual   1: 8388608 op, 15104500.00 ns, 1.8006 ns/op
OverheadActual   2: 8388608 op, 14901700.00 ns, 1.7764 ns/op
OverheadActual   3: 8388608 op, 15020100.00 ns, 1.7905 ns/op
OverheadActual   4: 8388608 op, 14710500.00 ns, 1.7536 ns/op
OverheadActual   5: 8388608 op, 14229200.00 ns, 1.6963 ns/op
OverheadActual   6: 8388608 op, 14548700.00 ns, 1.7343 ns/op
OverheadActual   7: 8388608 op, 15894500.00 ns, 1.8948 ns/op
OverheadActual   8: 8388608 op, 15349300.00 ns, 1.8298 ns/op
OverheadActual   9: 8388608 op, 14579300.00 ns, 1.7380 ns/op
OverheadActual  10: 8388608 op, 14404700.00 ns, 1.7172 ns/op
OverheadActual  11: 8388608 op, 14490800.00 ns, 1.7274 ns/op
