// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3606edcb-a5b1-4aa2-88c7-6afd0157bd6d
// command took 2.08s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3606edcb-a5b1-4aa2-88c7-6afd0157bd6d
// command took 3.51s and exited with 0
// ***** Done, took 00:00:05 (5.82 sec)   *****
// Found 4 benchmarks:
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=100]
//   ForLoopBenchmark.RegularForLoop2: DefaultJob [N=100]
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=1000]
//   ForLoopBenchmark.RegularForLoop2: DefaultJob [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForLoopBenchmark.RegularForLoop: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3606edcb-a5b1-4aa2-88c7-6afd0157bd6d.dll" --benchmarkName "BenchmarkExamples.ForLoop.ForLoopBenchmark.RegularForLoop(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3606edcb-a5b1-4aa2-88c7-6afd0157bd6d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.7 (CoreCLR 4.6.28008.02, CoreFX 4.6.28008.03), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 334900.00 ns, 334.9000 us/op
WorkloadJitting  1: 1 op, 279600.00 ns, 279.6000 us/op

OverheadJitting  2: 16 op, 565100.00 ns, 35.3188 us/op
WorkloadJitting  2: 16 op, 512900.00 ns, 32.0563 us/op

WorkloadPilot    1: 16 op, 2600.00 ns, 162.5000 ns/op
WorkloadPilot    2: 32 op, 1700.00 ns, 53.1250 ns/op
WorkloadPilot    3: 64 op, 3000.00 ns, 46.8750 ns/op
WorkloadPilot    4: 128 op, 5700.00 ns, 44.5313 ns/op
WorkloadPilot    5: 256 op, 10800.00 ns, 42.1875 ns/op
WorkloadPilot    6: 512 op, 21100.00 ns, 41.2109 ns/op
WorkloadPilot    7: 1024 op, 42300.00 ns, 41.3086 ns/op
WorkloadPilot    8: 2048 op, 88700.00 ns, 43.3105 ns/op
WorkloadPilot    9: 4096 op, 180000.00 ns, 43.9453 ns/op
WorkloadPilot   10: 8192 op, 440900.00 ns, 53.8208 ns/op
WorkloadPilot   11: 16384 op, 733200.00 ns, 44.7510 ns/op
WorkloadPilot   12: 32768 op, 1367000.00 ns, 41.7175 ns/op
WorkloadPilot   13: 65536 op, 2822800.00 ns, 43.0725 ns/op
WorkloadPilot   14: 131072 op, 5942300.00 ns, 45.3362 ns/op
WorkloadPilot   15: 262144 op, 11136300.00 ns, 42.4816 ns/op
WorkloadPilot   16: 524288 op, 23290100.00 ns, 44.4223 ns/op
WorkloadPilot   17: 1048576 op, 47735100.00 ns, 45.5237 ns/op
WorkloadPilot   18: 2097152 op, 88129200.00 ns, 42.0233 ns/op
WorkloadPilot   19: 4194304 op, 175124100.00 ns, 41.7528 ns/op
WorkloadPilot   20: 8388608 op, 343862000.00 ns, 40.9915 ns/op
WorkloadPilot   21: 16777216 op, 734993000.00 ns, 43.8090 ns/op

OverheadWarmup   1: 16777216 op, 30894600.00 ns, 1.8415 ns/op
OverheadWarmup   2: 16777216 op, 30158500.00 ns, 1.7976 ns/op
OverheadWarmup   3: 16777216 op, 30979400.00 ns, 1.8465 ns/op
OverheadWarmup   4: 16777216 op, 33116000.00 ns, 1.9739 ns/op
OverheadWarmup   5: 16777216 op, 32209600.00 ns, 1.9198 ns/op
OverheadWarmup   6: 16777216 op, 31335000.00 ns, 1.8677 ns/op
OverheadWarmup   7: 16777216 op, 30511200.00 ns, 1.8186 ns/op
OverheadWarmup   8: 16777216 op, 29559600.00 ns, 1.7619 ns/op
OverheadWarmup   9: 16777216 op, 30247000.00 ns, 1.8029 ns/op
OverheadWarmup  10: 16777216 op, 30194000.00 ns, 1.7997 ns/op

OverheadActual   1: 16777216 op, 30709500.00 ns, 1.8304 ns/op
OverheadActual   2: 16777216 op, 31097000.00 ns, 1.8535 ns/op
OverheadActual   3: 16777216 op, 30698700.00 ns, 1.8298 ns/op
OverheadActual   4: 16777216 op, 29866700.00 ns, 1.7802 ns/op
OverheadActual   5: 16777216 op, 31784700.00 ns, 1.8945 ns/op
OverheadActual   6: 16777216 op, 30241800.00 ns, 1.8026 ns/op
OverheadActual   7: 16777216 op, 31364700.00 ns, 1.8695 ns/op
OverheadActual   8: 16777216 op, 32437200.00 ns, 1.9334 ns/op
OverheadActual   9: 16777216 op, 31356700.00 ns, 1.8690 ns/op
OverheadActual  10: 16777216 op, 31686500.00 ns, 1.8887 ns/op
OverheadActual  11: 16777216 op, 30448700.00 ns, 1.8149 ns/op
OverheadActual  12: 16777216 op, 30791000.00 ns, 1.8353 ns/op
OverheadActual  13: 16777216 op, 30259800.00 ns, 1.8036 ns/op
OverheadActual  14: 16777216 op, 30442100.00 ns, 1.8145 ns/op
OverheadActual  15: 16777216 op, 30002400.00 ns, 1.7883 ns/op

WorkloadWarmup   1: 16777216 op, 702354500.00 ns, 41.8636 ns/op
