// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6c58b492-6ec2-4f64-8022-f8fda3a4fe95
// command took 1.84s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6c58b492-6ec2-4f64-8022-f8fda3a4fe95
// command took 4.83s and exited with 0
// ***** Done, took 00:00:06 (6.84 sec)   *****
// Found 6 benchmarks:
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=100]
//   ForLoopBenchmark.ForEachLoop: DefaultJob [N=100]
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=1000]
//   ForLoopBenchmark.ForEachLoop: DefaultJob [N=1000]
//   ForLoopBenchmark.RegularForLoop: DefaultJob [N=10000]
//   ForLoopBenchmark.ForEachLoop: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ForLoopBenchmark.RegularForLoop: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "6c58b492-6ec2-4f64-8022-f8fda3a4fe95.dll" --benchmarkName "BenchmarkExamples.ForLoop.ForLoopBenchmark.RegularForLoop(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6c58b492-6ec2-4f64-8022-f8fda3a4fe95\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.7 (CoreCLR 4.6.28008.02, CoreFX 4.6.28008.03), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 423300.00 ns, 423.3000 us/op
WorkloadJitting  1: 1 op, 300500.00 ns, 300.5000 us/op

OverheadJitting  2: 16 op, 449900.00 ns, 28.1188 us/op
WorkloadJitting  2: 16 op, 378900.00 ns, 23.6813 us/op

WorkloadPilot    1: 16 op, 3400.00 ns, 212.5000 ns/op
WorkloadPilot    2: 32 op, 1800.00 ns, 56.2500 ns/op
WorkloadPilot    3: 64 op, 3200.00 ns, 50.0000 ns/op
WorkloadPilot    4: 128 op, 5800.00 ns, 45.3125 ns/op
WorkloadPilot    5: 256 op, 18900.00 ns, 73.8281 ns/op
WorkloadPilot    6: 512 op, 21200.00 ns, 41.4063 ns/op
WorkloadPilot    7: 1024 op, 42000.00 ns, 41.0156 ns/op
WorkloadPilot    8: 2048 op, 90000.00 ns, 43.9453 ns/op
WorkloadPilot    9: 4096 op, 199900.00 ns, 48.8037 ns/op
WorkloadPilot   10: 8192 op, 339000.00 ns, 41.3818 ns/op
WorkloadPilot   11: 16384 op, 667500.00 ns, 40.7410 ns/op
WorkloadPilot   12: 32768 op, 1345000.00 ns, 41.0461 ns/op
WorkloadPilot   13: 65536 op, 2835900.00 ns, 43.2724 ns/op
WorkloadPilot   14: 131072 op, 5460700.00 ns, 41.6618 ns/op
WorkloadPilot   15: 262144 op, 11385800.00 ns, 43.4334 ns/op
WorkloadPilot   16: 524288 op, 23135000.00 ns, 44.1265 ns/op
WorkloadPilot   17: 1048576 op, 45791700.00 ns, 43.6704 ns/op
WorkloadPilot   18: 2097152 op, 117178400.00 ns, 55.8750 ns/op
WorkloadPilot   19: 4194304 op, 211560300.00 ns, 50.4399 ns/op
WorkloadPilot   20: 8388608 op, 342569000.00 ns, 40.8374 ns/op
WorkloadPilot   21: 16777216 op, 703445200.00 ns, 41.9286 ns/op

OverheadWarmup   1: 16777216 op, 29895700.00 ns, 1.7819 ns/op
OverheadWarmup   2: 16777216 op, 29956400.00 ns, 1.7855 ns/op
OverheadWarmup   3: 16777216 op, 33400700.00 ns, 1.9908 ns/op
OverheadWarmup   4: 16777216 op, 31157300.00 ns, 1.8571 ns/op
OverheadWarmup   5: 16777216 op, 29166800.00 ns, 1.7385 ns/op
OverheadWarmup   6: 16777216 op, 30638600.00 ns, 1.8262 ns/op
OverheadWarmup   7: 16777216 op, 29812000.00 ns, 1.7769 ns/op

OverheadActual   1: 16777216 op, 30887400.00 ns, 1.8410 ns/op
OverheadActual   2: 16777216 op, 29329800.00 ns, 1.7482 ns/op
OverheadActual   3: 16777216 op, 29957600.00 ns, 1.7856 ns/op
OverheadActual   4: 16777216 op, 30889900.00 ns, 1.8412 ns/op
OverheadActual   5: 16777216 op, 31289200.00 ns, 1.8650 ns/op
OverheadActual   6: 16777216 op, 29807200.00 ns, 1.7766 ns/op
OverheadActual   7: 16777216 op, 30463100.00 ns, 1.8157 ns/op
OverheadActual   8: 16777216 op, 30019500.00 ns, 1.7893 ns/op
OverheadActual   9: 16777216 op, 33458600.00 ns, 1.9943 ns/op
OverheadActual  10: 16777216 op, 30088200.00 ns, 1.7934 ns/op
OverheadActual  11: 16777216 op, 30290400.00 ns, 1.8054 ns/op
