// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\9782f515-7091-4e6a-b81d-881d0387dcbf
// command took 1.59s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\9782f515-7091-4e6a-b81d-881d0387dcbf
// command took 3.11s and exited with 0
// ***** Done, took 00:00:04 (4.85 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9782f515-7091-4e6a-b81d-881d0387dcbf.dll" --benchmarkName "BenchmarkExamples.JsonSerializer.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\9782f515-7091-4e6a-b81d-881d0387dcbf\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 385100.00 ns, 385.1000 us/op
WorkloadJitting  1: 1 op, 53627000.00 ns, 53.6270 ms/op

WorkloadPilot    1: 2 op, 16467200.00 ns, 8.2336 ms/op
WorkloadPilot    2: 3 op, 26570400.00 ns, 8.8568 ms/op
WorkloadPilot    3: 4 op, 31926100.00 ns, 7.9815 ms/op
WorkloadPilot    4: 5 op, 58448100.00 ns, 11.6896 ms/op
WorkloadPilot    5: 6 op, 59839400.00 ns, 9.9732 ms/op
WorkloadPilot    6: 7 op, 69153100.00 ns, 9.8790 ms/op
WorkloadPilot    7: 8 op, 72416100.00 ns, 9.0520 ms/op
WorkloadPilot    8: 9 op, 78795200.00 ns, 8.7550 ms/op
WorkloadPilot    9: 10 op, 76666100.00 ns, 7.6666 ms/op
WorkloadPilot   10: 11 op, 84416100.00 ns, 7.6742 ms/op
WorkloadPilot   11: 12 op, 112399700.00 ns, 9.3666 ms/op
WorkloadPilot   12: 13 op, 119416700.00 ns, 9.1859 ms/op
WorkloadPilot   13: 14 op, 137900900.00 ns, 9.8501 ms/op
WorkloadPilot   14: 15 op, 130048400.00 ns, 8.6699 ms/op
WorkloadPilot   15: 16 op, 143740000.00 ns, 8.9838 ms/op
