// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0860a0a4-e45a-4e1d-be5d-07bcdaa57f7c
// command took 1.66s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0860a0a4-e45a-4e1d-be5d-07bcdaa57f7c
// command took 3.06s and exited with 0
// ***** Done, took 00:00:04 (4.88 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0860a0a4-e45a-4e1d-be5d-07bcdaa57f7c.dll" --benchmarkName "BenchmarkExamples.JsonSerializer.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0860a0a4-e45a-4e1d-be5d-07bcdaa57f7c\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 360200.00 ns, 360.2000 us/op
WorkloadJitting  1: 1 op, 54229500.00 ns, 54.2295 ms/op

WorkloadPilot    1: 2 op, 14566000.00 ns, 7.2830 ms/op
WorkloadPilot    2: 3 op, 23307300.00 ns, 7.7691 ms/op
WorkloadPilot    3: 4 op, 30745600.00 ns, 7.6864 ms/op
WorkloadPilot    4: 5 op, 37316800.00 ns, 7.4634 ms/op
WorkloadPilot    5: 6 op, 45172700.00 ns, 7.5288 ms/op
WorkloadPilot    6: 7 op, 53448000.00 ns, 7.6354 ms/op
WorkloadPilot    7: 8 op, 57440300.00 ns, 7.1800 ms/op
WorkloadPilot    8: 9 op, 64437200.00 ns, 7.1597 ms/op
WorkloadPilot    9: 10 op, 71045300.00 ns, 7.1045 ms/op
WorkloadPilot   10: 11 op, 76040000.00 ns, 6.9127 ms/op
WorkloadPilot   11: 12 op, 83072900.00 ns, 6.9227 ms/op
WorkloadPilot   12: 13 op, 90994600.00 ns, 6.9996 ms/op
WorkloadPilot   13: 14 op, 101841700.00 ns, 7.2744 ms/op
WorkloadPilot   14: 15 op, 105652800.00 ns, 7.0435 ms/op
WorkloadPilot   15: 16 op, 112638900.00 ns, 7.0399 ms/op
WorkloadPilot   16: 32 op, 223177600.00 ns, 6.9743 ms/op
WorkloadPilot   17: 64 op, 438056600.00 ns, 6.8446 ms/op
WorkloadPilot   18: 128 op, 926348700.00 ns, 7.2371 ms/op

WorkloadWarmup   1: 128 op, 954462800.00 ns, 7.4567 ms/op
WorkloadWarmup   2: 128 op, 968992200.00 ns, 7.5703 ms/op
WorkloadWarmup   3: 128 op, 1004697800.00 ns, 7.8492 ms/op
WorkloadWarmup   4: 128 op, 1007220900.00 ns, 7.8689 ms/op
WorkloadWarmup   5: 128 op, 979315100.00 ns, 7.6509 ms/op
