// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\ee9e3ce6-032d-4b47-b6df-59aa8aa56339
// command took 1.77s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\ee9e3ce6-032d-4b47-b6df-59aa8aa56339
// command took 3.29s and exited with 0
// ***** Done, took 00:00:05 (5.23 sec)   *****
// Found 5 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlAttributeTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ee9e3ce6-032d-4b47-b6df-59aa8aa56339.dll" --benchmarkName "BenchmarkExamples.JsonSerializer.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\ee9e3ce6-032d-4b47-b6df-59aa8aa56339\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 330300.00 ns, 330.3000 us/op
WorkloadJitting  1: 1 op, 56933300.00 ns, 56.9333 ms/op

WorkloadPilot    1: 2 op, 16550500.00 ns, 8.2753 ms/op
WorkloadPilot    2: 3 op, 25751700.00 ns, 8.5839 ms/op
WorkloadPilot    3: 4 op, 32158000.00 ns, 8.0395 ms/op
WorkloadPilot    4: 5 op, 40043900.00 ns, 8.0088 ms/op
WorkloadPilot    5: 6 op, 46919300.00 ns, 7.8199 ms/op
WorkloadPilot    6: 7 op, 54258300.00 ns, 7.7512 ms/op
WorkloadPilot    7: 8 op, 60013300.00 ns, 7.5017 ms/op
WorkloadPilot    8: 9 op, 67160300.00 ns, 7.4623 ms/op
WorkloadPilot    9: 10 op, 75432600.00 ns, 7.5433 ms/op
WorkloadPilot   10: 11 op, 82497200.00 ns, 7.4997 ms/op
WorkloadPilot   11: 12 op, 82303900.00 ns, 6.8587 ms/op
WorkloadPilot   12: 13 op, 93296500.00 ns, 7.1767 ms/op
WorkloadPilot   13: 14 op, 98129900.00 ns, 7.0093 ms/op
WorkloadPilot   14: 15 op, 107234500.00 ns, 7.1490 ms/op
WorkloadPilot   15: 16 op, 109031300.00 ns, 6.8145 ms/op
WorkloadPilot   16: 32 op, 215667500.00 ns, 6.7396 ms/op
WorkloadPilot   17: 64 op, 439892100.00 ns, 6.8733 ms/op
WorkloadPilot   18: 128 op, 869312400.00 ns, 6.7915 ms/op

WorkloadWarmup   1: 128 op, 867320000.00 ns, 6.7759 ms/op
WorkloadWarmup   2: 128 op, 860179600.00 ns, 6.7202 ms/op
WorkloadWarmup   3: 128 op, 884698100.00 ns, 6.9117 ms/op
WorkloadWarmup   4: 128 op, 904141100.00 ns, 7.0636 ms/op
WorkloadWarmup   5: 128 op, 855979700.00 ns, 6.6873 ms/op
WorkloadWarmup   6: 128 op, 894030900.00 ns, 6.9846 ms/op
WorkloadWarmup   7: 128 op, 864739500.00 ns, 6.7558 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 853874100.00 ns, 6.6709 ms/op
WorkloadActual   2: 128 op, 857432400.00 ns, 6.6987 ms/op
WorkloadActual   3: 128 op, 919684900.00 ns, 7.1850 ms/op
WorkloadActual   4: 128 op, 884607400.00 ns, 6.9110 ms/op
WorkloadActual   5: 128 op, 891116400.00 ns, 6.9618 ms/op
WorkloadActual   6: 128 op, 894692100.00 ns, 6.9898 ms/op
WorkloadActual   7: 128 op, 917344500.00 ns, 7.1668 ms/op
WorkloadActual   8: 128 op, 884231100.00 ns, 6.9081 ms/op
WorkloadActual   9: 128 op, 935594400.00 ns, 7.3093 ms/op
WorkloadActual  10: 128 op, 887643700.00 ns, 6.9347 ms/op
WorkloadActual  11: 128 op, 892458100.00 ns, 6.9723 ms/op
WorkloadActual  12: 128 op, 903789900.00 ns, 7.0609 ms/op
WorkloadActual  13: 128 op, 885093700.00 ns, 6.9148 ms/op
WorkloadActual  14: 128 op, 869220800.00 ns, 6.7908 ms/op
WorkloadActual  15: 128 op, 901547400.00 ns, 7.0433 ms/op
WorkloadActual  16: 128 op, 884409100.00 ns, 6.9094 ms/op
WorkloadActual  17: 128 op, 860140700.00 ns, 6.7198 ms/op
WorkloadActual  18: 128 op, 884140900.00 ns, 6.9074 ms/op
WorkloadActual  19: 128 op, 1077200600.00 ns, 8.4156 ms/op
WorkloadActual  20: 128 op, 1119083200.00 ns, 8.7428 ms/op
WorkloadActual  21: 128 op, 1146702400.00 ns, 8.9586 ms/op
WorkloadActual  22: 128 op, 1009350200.00 ns, 7.8855 ms/op
WorkloadActual  23: 128 op, 1102496900.00 ns, 8.6133 ms/op
WorkloadActual  24: 128 op, 1203591200.00 ns, 9.4031 ms/op
WorkloadActual  25: 128 op, 1219609600.00 ns, 9.5282 ms/op
WorkloadActual  26: 128 op, 1252538800.00 ns, 9.7855 ms/op
WorkloadActual  27: 128 op, 1156220900.00 ns, 9.0330 ms/op
WorkloadActual  28: 128 op, 1034004700.00 ns, 8.0782 ms/op
WorkloadActual  29: 128 op, 953295000.00 ns, 7.4476 ms/op
WorkloadActual  30: 128 op, 932899500.00 ns, 7.2883 ms/op
WorkloadActual  31: 128 op, 920296900.00 ns, 7.1898 ms/op
WorkloadActual  32: 128 op, 891929500.00 ns, 6.9682 ms/op
WorkloadActual  33: 128 op, 937437000.00 ns, 7.3237 ms/op
WorkloadActual  34: 128 op, 901720600.00 ns, 7.0447 ms/op
WorkloadActual  35: 128 op, 899585600.00 ns, 7.0280 ms/op
WorkloadActual  36: 128 op, 888560400.00 ns, 6.9419 ms/op
WorkloadActual  37: 128 op, 903497500.00 ns, 7.0586 ms/op
WorkloadActual  38: 128 op, 954792200.00 ns, 7.4593 ms/op
WorkloadActual  39: 128 op, 871080400.00 ns, 6.8053 ms/op
WorkloadActual  40: 128 op, 910925700.00 ns, 7.1166 ms/op
WorkloadActual  41: 128 op, 929784500.00 ns, 7.2639 ms/op
WorkloadActual  42: 128 op, 908850800.00 ns, 7.1004 ms/op
WorkloadActual  43: 128 op, 966402700.00 ns, 7.5500 ms/op
WorkloadActual  44: 128 op, 938062500.00 ns, 7.3286 ms/op
WorkloadActual  45: 128 op, 962655100.00 ns, 7.5207 ms/op
WorkloadActual  46: 128 op, 925797100.00 ns, 7.2328 ms/op
WorkloadActual  47: 128 op, 907088600.00 ns, 7.0866 ms/op
WorkloadActual  48: 128 op, 895647800.00 ns, 6.9972 ms/op
WorkloadActual  49: 128 op, 885310900.00 ns, 6.9165 ms/op
WorkloadActual  50: 128 op, 899177300.00 ns, 7.0248 ms/op
WorkloadActual  51: 128 op, 900779700.00 ns, 7.0373 ms/op
WorkloadActual  52: 128 op, 940044000.00 ns, 7.3441 ms/op
WorkloadActual  53: 128 op, 952200600.00 ns, 7.4391 ms/op
WorkloadActual  54: 128 op, 997484000.00 ns, 7.7928 ms/op
WorkloadActual  55: 128 op, 899446800.00 ns, 7.0269 ms/op
WorkloadActual  56: 128 op, 872582400.00 ns, 6.8171 ms/op
WorkloadActual  57: 128 op, 868946800.00 ns, 6.7886 ms/op
WorkloadActual  58: 128 op, 893348700.00 ns, 6.9793 ms/op
WorkloadActual  59: 128 op, 1154966000.00 ns, 9.0232 ms/op
WorkloadActual  60: 128 op, 913362900.00 ns, 7.1356 ms/op
WorkloadActual  61: 128 op, 902657800.00 ns, 7.0520 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 853874100.00 ns, 6.6709 ms/op
WorkloadResult   2: 128 op, 857432400.00 ns, 6.6987 ms/op
WorkloadResult   3: 128 op, 919684900.00 ns, 7.1850 ms/op
WorkloadResult   4: 128 op, 884607400.00 ns, 6.9110 ms/op
WorkloadResult   5: 128 op, 891116400.00 ns, 6.9618 ms/op
WorkloadResult   6: 128 op, 894692100.00 ns, 6.9898 ms/op
WorkloadResult   7: 128 op, 917344500.00 ns, 7.1668 ms/op
WorkloadResult   8: 128 op, 884231100.00 ns, 6.9081 ms/op
WorkloadResult   9: 128 op, 935594400.00 ns, 7.3093 ms/op
WorkloadResult  10: 128 op, 887643700.00 ns, 6.9347 ms/op
WorkloadResult  11: 128 op, 892458100.00 ns, 6.9723 ms/op
WorkloadResult  12: 128 op, 903789900.00 ns, 7.0609 ms/op
WorkloadResult  13: 128 op, 885093700.00 ns, 6.9148 ms/op
WorkloadResult  14: 128 op, 869220800.00 ns, 6.7908 ms/op
WorkloadResult  15: 128 op, 901547400.00 ns, 7.0433 ms/op
WorkloadResult  16: 128 op, 884409100.00 ns, 6.9094 ms/op
WorkloadResult  17: 128 op, 860140700.00 ns, 6.7198 ms/op
WorkloadResult  18: 128 op, 884140900.00 ns, 6.9074 ms/op
WorkloadResult  19: 128 op, 1009350200.00 ns, 7.8855 ms/op
WorkloadResult  20: 128 op, 1034004700.00 ns, 8.0782 ms/op
WorkloadResult  21: 128 op, 953295000.00 ns, 7.4476 ms/op
WorkloadResult  22: 128 op, 932899500.00 ns, 7.2883 ms/op
WorkloadResult  23: 128 op, 920296900.00 ns, 7.1898 ms/op
WorkloadResult  24: 128 op, 891929500.00 ns, 6.9682 ms/op
WorkloadResult  25: 128 op, 937437000.00 ns, 7.3237 ms/op
WorkloadResult  26: 128 op, 901720600.00 ns, 7.0447 ms/op
WorkloadResult  27: 128 op, 899585600.00 ns, 7.0280 ms/op
WorkloadResult  28: 128 op, 888560400.00 ns, 6.9419 ms/op
WorkloadResult  29: 128 op, 903497500.00 ns, 7.0586 ms/op
