// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0fde90ab-b873-48d0-aab9-29787da66779
// command took 1.58s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0fde90ab-b873-48d0-aab9-29787da66779
// command took 3.07s and exited with 0
// ***** Done, took 00:00:04 (4.8 sec)   *****
// Found 5 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlAttributeTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0fde90ab-b873-48d0-aab9-29787da66779.dll" --benchmarkName "BenchmarkExamples.JsonSerializer.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\0fde90ab-b873-48d0-aab9-29787da66779\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 299000.00 ns, 299.0000 us/op
WorkloadJitting  1: 1 op, 23449700.00 ns, 23.4497 ms/op

OverheadJitting  2: 16 op, 433800.00 ns, 27.1125 us/op
WorkloadJitting  2: 16 op, 126378700.00 ns, 7.8987 ms/op

WorkloadPilot    1: 16 op, 126860300.00 ns, 7.9288 ms/op
WorkloadPilot    2: 32 op, 244162600.00 ns, 7.6301 ms/op
WorkloadPilot    3: 64 op, 454581700.00 ns, 7.1028 ms/op
WorkloadPilot    4: 128 op, 902278600.00 ns, 7.0491 ms/op

OverheadWarmup   1: 128 op, 2500.00 ns, 19.5313 ns/op
OverheadWarmup   2: 128 op, 900.00 ns, 7.0313 ns/op
OverheadWarmup   3: 128 op, 900.00 ns, 7.0313 ns/op
OverheadWarmup   4: 128 op, 1500.00 ns, 11.7188 ns/op
OverheadWarmup   5: 128 op, 800.00 ns, 6.2500 ns/op
OverheadWarmup   6: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   7: 128 op, 500.00 ns, 3.9063 ns/op
OverheadWarmup   8: 128 op, 600.00 ns, 4.6875 ns/op

OverheadActual   1: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   2: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   3: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   4: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual   5: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual   6: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   7: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   8: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   9: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual  10: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual  11: 128 op, 600.00 ns, 4.6875 ns/op
