// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1c4552eb-696b-47ea-a61f-86bbcb08d207
// command took 1.59s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1c4552eb-696b-47ea-a61f-86bbcb08d207
// command took 3.09s and exited with 0
// ***** Done, took 00:00:04 (4.84 sec)   *****
// Found 6 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlPrepTimeIncludedTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlPrepTimeExcludedTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1c4552eb-696b-47ea-a61f-86bbcb08d207.dll" --benchmarkName "BenchmarkExamples.JsonSerializer.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1c4552eb-696b-47ea-a61f-86bbcb08d207\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 314400.00 ns, 314.4000 us/op
WorkloadJitting  1: 1 op, 24761500.00 ns, 24.7615 ms/op

OverheadJitting  2: 16 op, 517900.00 ns, 32.3688 us/op
WorkloadJitting  2: 16 op, 125769400.00 ns, 7.8606 ms/op

WorkloadPilot    1: 16 op, 126198500.00 ns, 7.8874 ms/op
WorkloadPilot    2: 32 op, 245463600.00 ns, 7.6707 ms/op
WorkloadPilot    3: 64 op, 447714200.00 ns, 6.9955 ms/op
WorkloadPilot    4: 128 op, 868361000.00 ns, 6.7841 ms/op

OverheadWarmup   1: 128 op, 2800.00 ns, 21.8750 ns/op
OverheadWarmup   2: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   3: 128 op, 500.00 ns, 3.9063 ns/op
OverheadWarmup   4: 128 op, 500.00 ns, 3.9063 ns/op
OverheadWarmup   5: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   6: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   7: 128 op, 800.00 ns, 6.2500 ns/op

OverheadActual   1: 128 op, 16600.00 ns, 129.6875 ns/op
OverheadActual   2: 128 op, 1100.00 ns, 8.5938 ns/op
OverheadActual   3: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   4: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   5: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   6: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual   7: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   8: 128 op, 2100.00 ns, 16.4063 ns/op
OverheadActual   9: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  10: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  11: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  12: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  13: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  14: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  15: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  16: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  17: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  18: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  19: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  20: 128 op, 1200.00 ns, 9.3750 ns/op

WorkloadWarmup   1: 128 op, 870510800.00 ns, 6.8009 ms/op
WorkloadWarmup   2: 128 op, 879885800.00 ns, 6.8741 ms/op
WorkloadWarmup   3: 128 op, 885864100.00 ns, 6.9208 ms/op
WorkloadWarmup   4: 128 op, 918804500.00 ns, 7.1782 ms/op
WorkloadWarmup   5: 128 op, 883696200.00 ns, 6.9039 ms/op
WorkloadWarmup   6: 128 op, 913413200.00 ns, 7.1360 ms/op
WorkloadWarmup   7: 128 op, 920335500.00 ns, 7.1901 ms/op
WorkloadWarmup   8: 128 op, 939701900.00 ns, 7.3414 ms/op
WorkloadWarmup   9: 128 op, 949384700.00 ns, 7.4171 ms/op
WorkloadWarmup  10: 128 op, 900516300.00 ns, 7.0353 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 872586200.00 ns, 6.8171 ms/op
WorkloadActual   2: 128 op, 891332200.00 ns, 6.9635 ms/op
WorkloadActual   3: 128 op, 900482800.00 ns, 7.0350 ms/op
WorkloadActual   4: 128 op, 997642600.00 ns, 7.7941 ms/op
WorkloadActual   5: 128 op, 876881300.00 ns, 6.8506 ms/op
WorkloadActual   6: 128 op, 889871500.00 ns, 6.9521 ms/op
WorkloadActual   7: 128 op, 880766300.00 ns, 6.8810 ms/op
WorkloadActual   8: 128 op, 876388300.00 ns, 6.8468 ms/op
WorkloadActual   9: 128 op, 876656700.00 ns, 6.8489 ms/op
WorkloadActual  10: 128 op, 895390900.00 ns, 6.9952 ms/op
WorkloadActual  11: 128 op, 897973900.00 ns, 7.0154 ms/op
WorkloadActual  12: 128 op, 903307100.00 ns, 7.0571 ms/op
WorkloadActual  13: 128 op, 884449200.00 ns, 6.9098 ms/op
WorkloadActual  14: 128 op, 879370600.00 ns, 6.8701 ms/op
WorkloadActual  15: 128 op, 912954900.00 ns, 7.1325 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 872585500.00 ns, 6.8171 ms/op
WorkloadResult   2: 128 op, 891331500.00 ns, 6.9635 ms/op
WorkloadResult   3: 128 op, 900482100.00 ns, 7.0350 ms/op
WorkloadResult   4: 128 op, 876880600.00 ns, 6.8506 ms/op
WorkloadResult   5: 128 op, 889870800.00 ns, 6.9521 ms/op
WorkloadResult   6: 128 op, 880765600.00 ns, 6.8810 ms/op
WorkloadResult   7: 128 op, 876387600.00 ns, 6.8468 ms/op
WorkloadResult   8: 128 op, 876656000.00 ns, 6.8489 ms/op
WorkloadResult   9: 128 op, 895390200.00 ns, 6.9952 ms/op
WorkloadResult  10: 128 op, 897973200.00 ns, 7.0154 ms/op
WorkloadResult  11: 128 op, 903306400.00 ns, 7.0571 ms/op
WorkloadResult  12: 128 op, 884448500.00 ns, 6.9098 ms/op
WorkloadResult  13: 128 op, 879369900.00 ns, 6.8701 ms/op
WorkloadResult  14: 128 op, 912954200.00 ns, 7.1325 ms/op
GC:  126 0 0 398540800 128

// AfterAll

Mean = 6.9411 ms, StdErr = 0.0255 ms (0.37%); N = 14, StdDev = 0.0955 ms
Min = 6.8171 ms, Q1 = 6.8506 ms, Median = 6.9309 ms, Q3 = 7.0154 ms, Max = 7.1325 ms
IQR = 0.1648 ms, LowerFence = 6.6035 ms, UpperFence = 7.2626 ms
ConfidenceInterval = [6.8333 ms; 7.0488 ms] (CI 99.9%), Margin = 0.1077 ms (1.55% of Mean)
Skewness = 0.42, Kurtosis = 1.83, MValue = 2

// **************************
// Benchmark: JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
