// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\dcc2ac47-1bf8-45b5-8af6-c4b50b2fedac
// command took 1.61s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\dcc2ac47-1bf8-45b5-8af6-c4b50b2fedac
// command took 3.09s and exited with 0
// ***** Done, took 00:00:04 (4.85 sec)   *****
// Found 6 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlPrepTimeIncludedTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlPrepTimeExcludedTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "dcc2ac47-1bf8-45b5-8af6-c4b50b2fedac.dll" --benchmarkName "BenchmarkExamples.JsonSerializer.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\dcc2ac47-1bf8-45b5-8af6-c4b50b2fedac\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 337600.00 ns, 337.6000 us/op
WorkloadJitting  1: 1 op, 113196800.00 ns, 113.1968 ms/op

WorkloadPilot    1: 2 op, 156026000.00 ns, 78.0130 ms/op
WorkloadPilot    2: 3 op, 196997100.00 ns, 65.6657 ms/op
WorkloadPilot    3: 4 op, 261857000.00 ns, 65.4643 ms/op
WorkloadPilot    4: 5 op, 340688000.00 ns, 68.1376 ms/op
WorkloadPilot    5: 6 op, 384212700.00 ns, 64.0355 ms/op
WorkloadPilot    6: 7 op, 446829300.00 ns, 63.8328 ms/op
WorkloadPilot    7: 8 op, 586621700.00 ns, 73.3277 ms/op

WorkloadWarmup   1: 8 op, 487014000.00 ns, 60.8768 ms/op
WorkloadWarmup   2: 8 op, 464351300.00 ns, 58.0439 ms/op
WorkloadWarmup   3: 8 op, 576346300.00 ns, 72.0433 ms/op
WorkloadWarmup   4: 8 op, 550272200.00 ns, 68.7840 ms/op
WorkloadWarmup   5: 8 op, 501783700.00 ns, 62.7230 ms/op
WorkloadWarmup   6: 8 op, 562116200.00 ns, 70.2645 ms/op
WorkloadWarmup   7: 8 op, 487188900.00 ns, 60.8986 ms/op

// BeforeActualRun
WorkloadActual   1: 8 op, 480260000.00 ns, 60.0325 ms/op
WorkloadActual   2: 8 op, 484381400.00 ns, 60.5477 ms/op
WorkloadActual   3: 8 op, 453290800.00 ns, 56.6614 ms/op
WorkloadActual   4: 8 op, 466359600.00 ns, 58.2950 ms/op
WorkloadActual   5: 8 op, 479008700.00 ns, 59.8761 ms/op
WorkloadActual   6: 8 op, 466639200.00 ns, 58.3299 ms/op
WorkloadActual   7: 8 op, 457055000.00 ns, 57.1319 ms/op
WorkloadActual   8: 8 op, 486404100.00 ns, 60.8005 ms/op
WorkloadActual   9: 8 op, 539549200.00 ns, 67.4437 ms/op
WorkloadActual  10: 8 op, 507448700.00 ns, 63.4311 ms/op
WorkloadActual  11: 8 op, 519695800.00 ns, 64.9620 ms/op
WorkloadActual  12: 8 op, 555078100.00 ns, 69.3848 ms/op
WorkloadActual  13: 8 op, 467574800.00 ns, 58.4469 ms/op
WorkloadActual  14: 8 op, 498912500.00 ns, 62.3641 ms/op
WorkloadActual  15: 8 op, 488087600.00 ns, 61.0110 ms/op
WorkloadActual  16: 8 op, 470684300.00 ns, 58.8355 ms/op
WorkloadActual  17: 8 op, 487948900.00 ns, 60.9936 ms/op
WorkloadActual  18: 8 op, 476933600.00 ns, 59.6167 ms/op
WorkloadActual  19: 8 op, 461918200.00 ns, 57.7398 ms/op
WorkloadActual  20: 8 op, 455800900.00 ns, 56.9751 ms/op
WorkloadActual  21: 8 op, 462735500.00 ns, 57.8419 ms/op
WorkloadActual  22: 8 op, 483979900.00 ns, 60.4975 ms/op
WorkloadActual  23: 8 op, 509008400.00 ns, 63.6261 ms/op
WorkloadActual  24: 8 op, 527542600.00 ns, 65.9428 ms/op
WorkloadActual  25: 8 op, 491043400.00 ns, 61.3804 ms/op
WorkloadActual  26: 8 op, 463084100.00 ns, 57.8855 ms/op
WorkloadActual  27: 8 op, 459735200.00 ns, 57.4669 ms/op
WorkloadActual  28: 8 op, 471490700.00 ns, 58.9363 ms/op
WorkloadActual  29: 8 op, 501577800.00 ns, 62.6972 ms/op
WorkloadActual  30: 8 op, 473756300.00 ns, 59.2195 ms/op
WorkloadActual  31: 8 op, 459822300.00 ns, 57.4778 ms/op
WorkloadActual  32: 8 op, 473406500.00 ns, 59.1758 ms/op
WorkloadActual  33: 8 op, 501438900.00 ns, 62.6799 ms/op
WorkloadActual  34: 8 op, 460615100.00 ns, 57.5769 ms/op
WorkloadActual  35: 8 op, 499798800.00 ns, 62.4749 ms/op
WorkloadActual  36: 8 op, 465814000.00 ns, 58.2268 ms/op
WorkloadActual  37: 8 op, 471643300.00 ns, 58.9554 ms/op
WorkloadActual  38: 8 op, 461568400.00 ns, 57.6961 ms/op
WorkloadActual  39: 8 op, 477935300.00 ns, 59.7419 ms/op
WorkloadActual  40: 8 op, 451557800.00 ns, 56.4447 ms/op
WorkloadActual  41: 8 op, 458321700.00 ns, 57.2902 ms/op
WorkloadActual  42: 8 op, 496408100.00 ns, 62.0510 ms/op
WorkloadActual  43: 8 op, 536695400.00 ns, 67.0869 ms/op
WorkloadActual  44: 8 op, 493015100.00 ns, 61.6269 ms/op
WorkloadActual  45: 8 op, 511220400.00 ns, 63.9026 ms/op
WorkloadActual  46: 8 op, 498810300.00 ns, 62.3513 ms/op
WorkloadActual  47: 8 op, 493507000.00 ns, 61.6884 ms/op
WorkloadActual  48: 8 op, 534879500.00 ns, 66.8599 ms/op
WorkloadActual  49: 8 op, 577503900.00 ns, 72.1880 ms/op
WorkloadActual  50: 8 op, 551234700.00 ns, 68.9043 ms/op
WorkloadActual  51: 8 op, 556042300.00 ns, 69.5053 ms/op
WorkloadActual  52: 8 op, 577615600.00 ns, 72.2020 ms/op
WorkloadActual  53: 8 op, 611624700.00 ns, 76.4531 ms/op
WorkloadActual  54: 8 op, 569682500.00 ns, 71.2103 ms/op
