// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\b3c9f9b4-2d28-4f0e-8c3a-6d8ec507e3e1
// command took 1.77s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\b3c9f9b4-2d28-4f0e-8c3a-6d8ec507e3e1
// command took 3.57s and exited with 0
// ***** Done, took 00:00:05 (5.56 sec)   *****
// Found 6 benchmarks:
//   JsonSerializerBenchmark.JsonToJObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.JsonToObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlToObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlPrepTimeIncludedTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlPrepTimeExcludedTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufToObjectTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonToJObjectTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b3c9f9b4-2d28-4f0e-8c3a-6d8ec507e3e1.dll" --benchmarkName "BenchmarkExamples.JsonSerializer.JsonSerializerBenchmark.JsonToJObjectTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\b3c9f9b4-2d28-4f0e-8c3a-6d8ec507e3e1\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 318200.00 ns, 318.2000 us/op
WorkloadJitting  1: 1 op, 132876100.00 ns, 132.8761 ms/op

WorkloadPilot    1: 2 op, 162198200.00 ns, 81.0991 ms/op
WorkloadPilot    2: 3 op, 231691300.00 ns, 77.2304 ms/op
WorkloadPilot    3: 4 op, 254667400.00 ns, 63.6669 ms/op
WorkloadPilot    4: 5 op, 349092400.00 ns, 69.8185 ms/op
WorkloadPilot    5: 6 op, 404853700.00 ns, 67.4756 ms/op
WorkloadPilot    6: 7 op, 478723700.00 ns, 68.3891 ms/op
WorkloadPilot    7: 8 op, 533263800.00 ns, 66.6580 ms/op

WorkloadWarmup   1: 8 op, 506941800.00 ns, 63.3677 ms/op
WorkloadWarmup   2: 8 op, 492419700.00 ns, 61.5525 ms/op
WorkloadWarmup   3: 8 op, 544829800.00 ns, 68.1037 ms/op
WorkloadWarmup   4: 8 op, 567948900.00 ns, 70.9936 ms/op
WorkloadWarmup   5: 8 op, 579224800.00 ns, 72.4031 ms/op
WorkloadWarmup   6: 8 op, 591759800.00 ns, 73.9700 ms/op
WorkloadWarmup   7: 8 op, 562722200.00 ns, 70.3403 ms/op
WorkloadWarmup   8: 8 op, 555376200.00 ns, 69.4220 ms/op
WorkloadWarmup   9: 8 op, 629587400.00 ns, 78.6984 ms/op
WorkloadWarmup  10: 8 op, 578700700.00 ns, 72.3376 ms/op

// BeforeActualRun
WorkloadActual   1: 8 op, 620237700.00 ns, 77.5297 ms/op
WorkloadActual   2: 8 op, 564523100.00 ns, 70.5654 ms/op
WorkloadActual   3: 8 op, 588197200.00 ns, 73.5247 ms/op
WorkloadActual   4: 8 op, 575149300.00 ns, 71.8937 ms/op
WorkloadActual   5: 8 op, 603179300.00 ns, 75.3974 ms/op
WorkloadActual   6: 8 op, 558985800.00 ns, 69.8732 ms/op
WorkloadActual   7: 8 op, 576552400.00 ns, 72.0691 ms/op
WorkloadActual   8: 8 op, 515661700.00 ns, 64.4577 ms/op
WorkloadActual   9: 8 op, 552753800.00 ns, 69.0942 ms/op
WorkloadActual  10: 8 op, 571794100.00 ns, 71.4743 ms/op
WorkloadActual  11: 8 op, 508737200.00 ns, 63.5922 ms/op
WorkloadActual  12: 8 op, 526137500.00 ns, 65.7672 ms/op
WorkloadActual  13: 8 op, 520879900.00 ns, 65.1100 ms/op
WorkloadActual  14: 8 op, 507967300.00 ns, 63.4959 ms/op
WorkloadActual  15: 8 op, 503090000.00 ns, 62.8863 ms/op
WorkloadActual  16: 8 op, 477380500.00 ns, 59.6726 ms/op
WorkloadActual  17: 8 op, 462262000.00 ns, 57.7828 ms/op
WorkloadActual  18: 8 op, 466425700.00 ns, 58.3032 ms/op
WorkloadActual  19: 8 op, 483542400.00 ns, 60.4428 ms/op
WorkloadActual  20: 8 op, 480817000.00 ns, 60.1021 ms/op
WorkloadActual  21: 8 op, 533914400.00 ns, 66.7393 ms/op
WorkloadActual  22: 8 op, 460717400.00 ns, 57.5897 ms/op
WorkloadActual  23: 8 op, 466175500.00 ns, 58.2719 ms/op
WorkloadActual  24: 8 op, 470281700.00 ns, 58.7852 ms/op
WorkloadActual  25: 8 op, 506417300.00 ns, 63.3022 ms/op
WorkloadActual  26: 8 op, 468761600.00 ns, 58.5952 ms/op
WorkloadActual  27: 8 op, 473750700.00 ns, 59.2188 ms/op
WorkloadActual  28: 8 op, 464315300.00 ns, 58.0394 ms/op
WorkloadActual  29: 8 op, 464226600.00 ns, 58.0283 ms/op
WorkloadActual  30: 8 op, 478603300.00 ns, 59.8254 ms/op
WorkloadActual  31: 8 op, 461849300.00 ns, 57.7312 ms/op
WorkloadActual  32: 8 op, 463771700.00 ns, 57.9715 ms/op
WorkloadActual  33: 8 op, 455512300.00 ns, 56.9390 ms/op
