// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6f116012-4b42-45ce-8edf-0dab0762baa2
// command took 1.61s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6f116012-4b42-45ce-8edf-0dab0762baa2
// command took 3.06s and exited with 0
// ***** Done, took 00:00:04 (4.84 sec)   *****
// Found 2 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "6f116012-4b42-45ce-8edf-0dab0762baa2.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\6f116012-4b42-45ce-8edf-0dab0762baa2\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 326700.00 ns, 326.7000 us/op
WorkloadJitting  1: 1 op, 48472200.00 ns, 48.4722 ms/op

WorkloadPilot    1: 2 op, 6159200.00 ns, 3.0796 ms/op
WorkloadPilot    2: 3 op, 8327600.00 ns, 2.7759 ms/op
WorkloadPilot    3: 4 op, 9409600.00 ns, 2.3524 ms/op
WorkloadPilot    4: 5 op, 12474900.00 ns, 2.4950 ms/op
WorkloadPilot    5: 6 op, 14728300.00 ns, 2.4547 ms/op
WorkloadPilot    6: 7 op, 18812600.00 ns, 2.6875 ms/op
WorkloadPilot    7: 8 op, 18642300.00 ns, 2.3303 ms/op
WorkloadPilot    8: 9 op, 20819300.00 ns, 2.3133 ms/op
WorkloadPilot    9: 10 op, 23405400.00 ns, 2.3405 ms/op
WorkloadPilot   10: 11 op, 27855500.00 ns, 2.5323 ms/op
WorkloadPilot   11: 12 op, 30948400.00 ns, 2.5790 ms/op
WorkloadPilot   12: 13 op, 28685400.00 ns, 2.2066 ms/op
WorkloadPilot   13: 14 op, 30520300.00 ns, 2.1800 ms/op
WorkloadPilot   14: 15 op, 33114200.00 ns, 2.2076 ms/op
WorkloadPilot   15: 16 op, 35409200.00 ns, 2.2131 ms/op
WorkloadPilot   16: 32 op, 67797200.00 ns, 2.1187 ms/op
WorkloadPilot   17: 64 op, 133341300.00 ns, 2.0835 ms/op
WorkloadPilot   18: 128 op, 261801800.00 ns, 2.0453 ms/op
WorkloadPilot   19: 256 op, 506943400.00 ns, 1.9802 ms/op

WorkloadWarmup   1: 256 op, 517183000.00 ns, 2.0202 ms/op
WorkloadWarmup   2: 256 op, 505015700.00 ns, 1.9727 ms/op
WorkloadWarmup   3: 256 op, 503359300.00 ns, 1.9662 ms/op
WorkloadWarmup   4: 256 op, 510210800.00 ns, 1.9930 ms/op
WorkloadWarmup   5: 256 op, 507148700.00 ns, 1.9810 ms/op
WorkloadWarmup   6: 256 op, 520201700.00 ns, 2.0320 ms/op
WorkloadWarmup   7: 256 op, 510952200.00 ns, 1.9959 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 511112000.00 ns, 1.9965 ms/op
WorkloadActual   2: 256 op, 508097200.00 ns, 1.9848 ms/op
WorkloadActual   3: 256 op, 559534400.00 ns, 2.1857 ms/op
WorkloadActual   4: 256 op, 519792600.00 ns, 2.0304 ms/op
WorkloadActual   5: 256 op, 509432400.00 ns, 1.9900 ms/op
WorkloadActual   6: 256 op, 504194300.00 ns, 1.9695 ms/op
WorkloadActual   7: 256 op, 506767100.00 ns, 1.9796 ms/op
WorkloadActual   8: 256 op, 507909700.00 ns, 1.9840 ms/op
WorkloadActual   9: 256 op, 516341800.00 ns, 2.0170 ms/op
WorkloadActual  10: 256 op, 508242000.00 ns, 1.9853 ms/op
WorkloadActual  11: 256 op, 551677100.00 ns, 2.1550 ms/op
WorkloadActual  12: 256 op, 566212500.00 ns, 2.2118 ms/op
WorkloadActual  13: 256 op, 544046400.00 ns, 2.1252 ms/op
WorkloadActual  14: 256 op, 561036600.00 ns, 2.1915 ms/op
WorkloadActual  15: 256 op, 661411200.00 ns, 2.5836 ms/op
WorkloadActual  16: 256 op, 613338400.00 ns, 2.3959 ms/op
WorkloadActual  17: 256 op, 717703700.00 ns, 2.8035 ms/op
WorkloadActual  18: 256 op, 864377000.00 ns, 3.3765 ms/op
WorkloadActual  19: 256 op, 732826500.00 ns, 2.8626 ms/op
WorkloadActual  20: 256 op, 665998700.00 ns, 2.6016 ms/op
WorkloadActual  21: 256 op, 706375700.00 ns, 2.7593 ms/op
WorkloadActual  22: 256 op, 638048500.00 ns, 2.4924 ms/op
WorkloadActual  23: 256 op, 647205500.00 ns, 2.5281 ms/op
WorkloadActual  24: 256 op, 577840800.00 ns, 2.2572 ms/op
WorkloadActual  25: 256 op, 571163100.00 ns, 2.2311 ms/op
WorkloadActual  26: 256 op, 551042000.00 ns, 2.1525 ms/op
WorkloadActual  27: 256 op, 556379200.00 ns, 2.1734 ms/op
WorkloadActual  28: 256 op, 544095600.00 ns, 2.1254 ms/op
WorkloadActual  29: 256 op, 531856700.00 ns, 2.0776 ms/op
WorkloadActual  30: 256 op, 885945500.00 ns, 3.4607 ms/op
WorkloadActual  31: 256 op, 515695200.00 ns, 2.0144 ms/op
WorkloadActual  32: 256 op, 523277800.00 ns, 2.0441 ms/op
WorkloadActual  33: 256 op, 518480700.00 ns, 2.0253 ms/op
WorkloadActual  34: 256 op, 510041800.00 ns, 1.9924 ms/op
WorkloadActual  35: 256 op, 520164500.00 ns, 2.0319 ms/op
WorkloadActual  36: 256 op, 522750800.00 ns, 2.0420 ms/op
WorkloadActual  37: 256 op, 511320300.00 ns, 1.9973 ms/op
WorkloadActual  38: 256 op, 524248200.00 ns, 2.0478 ms/op
WorkloadActual  39: 256 op, 517933000.00 ns, 2.0232 ms/op
WorkloadActual  40: 256 op, 518533200.00 ns, 2.0255 ms/op
WorkloadActual  41: 256 op, 520933300.00 ns, 2.0349 ms/op
WorkloadActual  42: 256 op, 524139200.00 ns, 2.0474 ms/op
WorkloadActual  43: 256 op, 523390100.00 ns, 2.0445 ms/op
WorkloadActual  44: 256 op, 524887000.00 ns, 2.0503 ms/op
WorkloadActual  45: 256 op, 517386300.00 ns, 2.0210 ms/op
WorkloadActual  46: 256 op, 521590500.00 ns, 2.0375 ms/op
WorkloadActual  47: 256 op, 882383500.00 ns, 3.4468 ms/op
WorkloadActual  48: 256 op, 519701100.00 ns, 2.0301 ms/op
WorkloadActual  49: 256 op, 522933100.00 ns, 2.0427 ms/op
WorkloadActual  50: 256 op, 516871800.00 ns, 2.0190 ms/op
WorkloadActual  51: 256 op, 521782500.00 ns, 2.0382 ms/op
WorkloadActual  52: 256 op, 519677300.00 ns, 2.0300 ms/op
WorkloadActual  53: 256 op, 524183600.00 ns, 2.0476 ms/op
WorkloadActual  54: 256 op, 519177000.00 ns, 2.0280 ms/op
WorkloadActual  55: 256 op, 522198500.00 ns, 2.0398 ms/op
WorkloadActual  56: 256 op, 510860400.00 ns, 1.9955 ms/op
WorkloadActual  57: 256 op, 522718600.00 ns, 2.0419 ms/op
WorkloadActual  58: 256 op, 522570900.00 ns, 2.0413 ms/op
WorkloadActual  59: 256 op, 518887600.00 ns, 2.0269 ms/op
WorkloadActual  60: 256 op, 521971700.00 ns, 2.0390 ms/op
WorkloadActual  61: 256 op, 518924900.00 ns, 2.0271 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 511112000.00 ns, 1.9965 ms/op
WorkloadResult   2: 256 op, 508097200.00 ns, 1.9848 ms/op
WorkloadResult   3: 256 op, 559534400.00 ns, 2.1857 ms/op
WorkloadResult   4: 256 op, 519792600.00 ns, 2.0304 ms/op
WorkloadResult   5: 256 op, 509432400.00 ns, 1.9900 ms/op
WorkloadResult   6: 256 op, 504194300.00 ns, 1.9695 ms/op
WorkloadResult   7: 256 op, 506767100.00 ns, 1.9796 ms/op
WorkloadResult   8: 256 op, 507909700.00 ns, 1.9840 ms/op
WorkloadResult   9: 256 op, 516341800.00 ns, 2.0170 ms/op
WorkloadResult  10: 256 op, 508242000.00 ns, 1.9853 ms/op
WorkloadResult  11: 256 op, 551677100.00 ns, 2.1550 ms/op
WorkloadResult  12: 256 op, 566212500.00 ns, 2.2118 ms/op
WorkloadResult  13: 256 op, 544046400.00 ns, 2.1252 ms/op
WorkloadResult  14: 256 op, 561036600.00 ns, 2.1915 ms/op
WorkloadResult  15: 256 op, 613338400.00 ns, 2.3959 ms/op
WorkloadResult  16: 256 op, 577840800.00 ns, 2.2572 ms/op
