// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\f4129403-b1fe-432c-8004-c189babc09a0
// command took 1.59s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\f4129403-b1fe-432c-8004-c189babc09a0
// command took 3s and exited with 0
// ***** Done, took 00:00:04 (4.74 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f4129403-b1fe-432c-8004-c189babc09a0.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\f4129403-b1fe-432c-8004-c189babc09a0\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 342300.00 ns, 342.3000 us/op
WorkloadJitting  1: 1 op, 48319700.00 ns, 48.3197 ms/op

WorkloadPilot    1: 2 op, 4953700.00 ns, 2.4769 ms/op
WorkloadPilot    2: 3 op, 6630200.00 ns, 2.2101 ms/op
WorkloadPilot    3: 4 op, 10567600.00 ns, 2.6419 ms/op
WorkloadPilot    4: 5 op, 12843200.00 ns, 2.5686 ms/op
WorkloadPilot    5: 6 op, 15065100.00 ns, 2.5109 ms/op
WorkloadPilot    6: 7 op, 17046800.00 ns, 2.4353 ms/op
WorkloadPilot    7: 8 op, 18439500.00 ns, 2.3049 ms/op
WorkloadPilot    8: 9 op, 21082600.00 ns, 2.3425 ms/op
WorkloadPilot    9: 10 op, 24103000.00 ns, 2.4103 ms/op
WorkloadPilot   10: 11 op, 24478400.00 ns, 2.2253 ms/op
WorkloadPilot   11: 12 op, 27192100.00 ns, 2.2660 ms/op
WorkloadPilot   12: 13 op, 29242200.00 ns, 2.2494 ms/op
WorkloadPilot   13: 14 op, 31725000.00 ns, 2.2661 ms/op
WorkloadPilot   14: 15 op, 33114400.00 ns, 2.2076 ms/op
WorkloadPilot   15: 16 op, 35483400.00 ns, 2.2177 ms/op
WorkloadPilot   16: 32 op, 67331100.00 ns, 2.1041 ms/op
WorkloadPilot   17: 64 op, 131899900.00 ns, 2.0609 ms/op
WorkloadPilot   18: 128 op, 267399700.00 ns, 2.0891 ms/op
WorkloadPilot   19: 256 op, 514652500.00 ns, 2.0104 ms/op

WorkloadWarmup   1: 256 op, 522034100.00 ns, 2.0392 ms/op
WorkloadWarmup   2: 256 op, 517227500.00 ns, 2.0204 ms/op
WorkloadWarmup   3: 256 op, 525034400.00 ns, 2.0509 ms/op
