// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\fab13ca5-fa5e-4c17-bba0-a87a56294c32
// command took 1.66s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\fab13ca5-fa5e-4c17-bba0-a87a56294c32
// command took 3.03s and exited with 0
// ***** Done, took 00:00:04 (4.85 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fab13ca5-fa5e-4c17-bba0-a87a56294c32.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\fab13ca5-fa5e-4c17-bba0-a87a56294c32\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 298400.00 ns, 298.4000 us/op
WorkloadJitting  1: 1 op, 49219300.00 ns, 49.2193 ms/op

WorkloadPilot    1: 2 op, 5260200.00 ns, 2.6301 ms/op
WorkloadPilot    2: 3 op, 7347200.00 ns, 2.4491 ms/op
WorkloadPilot    3: 4 op, 10078100.00 ns, 2.5195 ms/op
WorkloadPilot    4: 5 op, 12056800.00 ns, 2.4114 ms/op
WorkloadPilot    5: 6 op, 14925700.00 ns, 2.4876 ms/op
WorkloadPilot    6: 7 op, 17441900.00 ns, 2.4917 ms/op
WorkloadPilot    7: 8 op, 20147500.00 ns, 2.5184 ms/op
WorkloadPilot    8: 9 op, 19735400.00 ns, 2.1928 ms/op
WorkloadPilot    9: 10 op, 22940400.00 ns, 2.2940 ms/op
WorkloadPilot   10: 11 op, 24289300.00 ns, 2.2081 ms/op
WorkloadPilot   11: 12 op, 26490100.00 ns, 2.2075 ms/op
WorkloadPilot   12: 13 op, 28041500.00 ns, 2.1570 ms/op
WorkloadPilot   13: 14 op, 30466600.00 ns, 2.1762 ms/op
WorkloadPilot   14: 15 op, 31500100.00 ns, 2.1000 ms/op
WorkloadPilot   15: 16 op, 33559900.00 ns, 2.0975 ms/op
WorkloadPilot   16: 32 op, 65724700.00 ns, 2.0539 ms/op
WorkloadPilot   17: 64 op, 126801800.00 ns, 1.9813 ms/op
WorkloadPilot   18: 128 op, 263172000.00 ns, 2.0560 ms/op
WorkloadPilot   19: 256 op, 507312500.00 ns, 1.9817 ms/op

WorkloadWarmup   1: 256 op, 505568400.00 ns, 1.9749 ms/op
WorkloadWarmup   2: 256 op, 503514200.00 ns, 1.9669 ms/op
WorkloadWarmup   3: 256 op, 503951400.00 ns, 1.9686 ms/op
WorkloadWarmup   4: 256 op, 517412100.00 ns, 2.0211 ms/op
