// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\4777f827-d524-41dd-a9ac-b403b066f9b3
// command took 2.89s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\4777f827-d524-41dd-a9ac-b403b066f9b3
// command took 4.54s and exited with 0
// ***** Done, took 00:00:07 (7.66 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "4777f827-d524-41dd-a9ac-b403b066f9b3.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\4777f827-d524-41dd-a9ac-b403b066f9b3\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 337600.00 ns, 337.6000 us/op
WorkloadJitting  1: 1 op, 54021500.00 ns, 54.0215 ms/op

WorkloadPilot    1: 2 op, 5079400.00 ns, 2.5397 ms/op
WorkloadPilot    2: 3 op, 8159100.00 ns, 2.7197 ms/op
WorkloadPilot    3: 4 op, 9743000.00 ns, 2.4358 ms/op
WorkloadPilot    4: 5 op, 12255700.00 ns, 2.4511 ms/op
WorkloadPilot    5: 6 op, 17550800.00 ns, 2.9251 ms/op
WorkloadPilot    6: 7 op, 18669100.00 ns, 2.6670 ms/op
WorkloadPilot    7: 8 op, 19884900.00 ns, 2.4856 ms/op
WorkloadPilot    8: 9 op, 23545700.00 ns, 2.6162 ms/op
WorkloadPilot    9: 10 op, 24978500.00 ns, 2.4979 ms/op
WorkloadPilot   10: 11 op, 28735500.00 ns, 2.6123 ms/op
WorkloadPilot   11: 12 op, 32276400.00 ns, 2.6897 ms/op
WorkloadPilot   12: 13 op, 44065000.00 ns, 3.3896 ms/op
WorkloadPilot   13: 14 op, 45834600.00 ns, 3.2739 ms/op
WorkloadPilot   14: 15 op, 50937800.00 ns, 3.3959 ms/op
WorkloadPilot   15: 16 op, 39021900.00 ns, 2.4389 ms/op
WorkloadPilot   16: 32 op, 83898400.00 ns, 2.6218 ms/op
WorkloadPilot   17: 64 op, 177573500.00 ns, 2.7746 ms/op
WorkloadPilot   18: 128 op, 407823300.00 ns, 3.1861 ms/op
WorkloadPilot   19: 256 op, 606895900.00 ns, 2.3707 ms/op

WorkloadWarmup   1: 256 op, 604566500.00 ns, 2.3616 ms/op
WorkloadWarmup   2: 256 op, 637853500.00 ns, 2.4916 ms/op
WorkloadWarmup   3: 256 op, 587955000.00 ns, 2.2967 ms/op
WorkloadWarmup   4: 256 op, 598713300.00 ns, 2.3387 ms/op
WorkloadWarmup   5: 256 op, 599699100.00 ns, 2.3426 ms/op
WorkloadWarmup   6: 256 op, 613364200.00 ns, 2.3960 ms/op
WorkloadWarmup   7: 256 op, 734615600.00 ns, 2.8696 ms/op
WorkloadWarmup   8: 256 op, 669950500.00 ns, 2.6170 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 623792700.00 ns, 2.4367 ms/op
WorkloadActual   2: 256 op, 601546800.00 ns, 2.3498 ms/op
WorkloadActual   3: 256 op, 607899300.00 ns, 2.3746 ms/op
WorkloadActual   4: 256 op, 604027600.00 ns, 2.3595 ms/op
WorkloadActual   5: 256 op, 612661100.00 ns, 2.3932 ms/op
WorkloadActual   6: 256 op, 611426400.00 ns, 2.3884 ms/op
WorkloadActual   7: 256 op, 623250600.00 ns, 2.4346 ms/op
WorkloadActual   8: 256 op, 618804200.00 ns, 2.4172 ms/op
WorkloadActual   9: 256 op, 609816600.00 ns, 2.3821 ms/op
WorkloadActual  10: 256 op, 615815600.00 ns, 2.4055 ms/op
WorkloadActual  11: 256 op, 587172700.00 ns, 2.2936 ms/op
WorkloadActual  12: 256 op, 603739700.00 ns, 2.3584 ms/op
WorkloadActual  13: 256 op, 625577600.00 ns, 2.4437 ms/op
WorkloadActual  14: 256 op, 587790600.00 ns, 2.2961 ms/op
WorkloadActual  15: 256 op, 593780400.00 ns, 2.3195 ms/op
WorkloadActual  16: 256 op, 582577800.00 ns, 2.2757 ms/op
