// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\12b84c50-78c7-4c1c-b721-a1c7cca956eb
// command took 1.83s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\12b84c50-78c7-4c1c-b721-a1c7cca956eb
// command took 4.07s and exited with 0
// ***** Done, took 00:00:06 (6.06 sec)   *****
// Found 6 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "12b84c50-78c7-4c1c-b721-a1c7cca956eb.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\12b84c50-78c7-4c1c-b721-a1c7cca956eb\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 433200.00 ns, 433.2000 us/op
WorkloadJitting  1: 1 op, 50995700.00 ns, 50.9957 ms/op

WorkloadPilot    1: 2 op, 8184900.00 ns, 4.0925 ms/op
WorkloadPilot    2: 3 op, 10247300.00 ns, 3.4158 ms/op
WorkloadPilot    3: 4 op, 15456500.00 ns, 3.8641 ms/op
WorkloadPilot    4: 5 op, 22638600.00 ns, 4.5277 ms/op
WorkloadPilot    5: 6 op, 21434400.00 ns, 3.5724 ms/op
WorkloadPilot    6: 7 op, 19293300.00 ns, 2.7562 ms/op
WorkloadPilot    7: 8 op, 24256000.00 ns, 3.0320 ms/op
WorkloadPilot    8: 9 op, 25432200.00 ns, 2.8258 ms/op
WorkloadPilot    9: 10 op, 26361000.00 ns, 2.6361 ms/op
WorkloadPilot   10: 11 op, 27165100.00 ns, 2.4696 ms/op
WorkloadPilot   11: 12 op, 34060800.00 ns, 2.8384 ms/op
WorkloadPilot   12: 13 op, 48167900.00 ns, 3.7052 ms/op
WorkloadPilot   13: 14 op, 45517800.00 ns, 3.2513 ms/op
WorkloadPilot   14: 15 op, 60925100.00 ns, 4.0617 ms/op
WorkloadPilot   15: 16 op, 41692800.00 ns, 2.6058 ms/op
WorkloadPilot   16: 32 op, 79025900.00 ns, 2.4696 ms/op
WorkloadPilot   17: 64 op, 193119800.00 ns, 3.0175 ms/op
WorkloadPilot   18: 128 op, 319636500.00 ns, 2.4972 ms/op
WorkloadPilot   19: 256 op, 727580000.00 ns, 2.8421 ms/op

WorkloadWarmup   1: 256 op, 641019300.00 ns, 2.5040 ms/op
WorkloadWarmup   2: 256 op, 597006500.00 ns, 2.3321 ms/op
WorkloadWarmup   3: 256 op, 622083900.00 ns, 2.4300 ms/op
WorkloadWarmup   4: 256 op, 610235200.00 ns, 2.3837 ms/op
WorkloadWarmup   5: 256 op, 607455000.00 ns, 2.3729 ms/op
WorkloadWarmup   6: 256 op, 606030000.00 ns, 2.3673 ms/op
