// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\7769de76-08c3-493b-93f3-ccb670920288
// command took 2.14s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\7769de76-08c3-493b-93f3-ccb670920288
// command took 3.55s and exited with 0
// ***** Done, took 00:00:05 (5.9 sec)   *****
// Found 6 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7769de76-08c3-493b-93f3-ccb670920288.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\7769de76-08c3-493b-93f3-ccb670920288\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 384700.00 ns, 384.7000 us/op
WorkloadJitting  1: 1 op, 50943600.00 ns, 50.9436 ms/op

WorkloadPilot    1: 2 op, 11672700.00 ns, 5.8364 ms/op
WorkloadPilot    2: 3 op, 10049900.00 ns, 3.3500 ms/op
WorkloadPilot    3: 4 op, 15257300.00 ns, 3.8143 ms/op
WorkloadPilot    4: 5 op, 19082600.00 ns, 3.8165 ms/op
WorkloadPilot    5: 6 op, 17126100.00 ns, 2.8544 ms/op
WorkloadPilot    6: 7 op, 17745400.00 ns, 2.5351 ms/op
WorkloadPilot    7: 8 op, 21935800.00 ns, 2.7420 ms/op
WorkloadPilot    8: 9 op, 21644000.00 ns, 2.4049 ms/op
WorkloadPilot    9: 10 op, 23369900.00 ns, 2.3370 ms/op
WorkloadPilot   10: 11 op, 27065700.00 ns, 2.4605 ms/op
WorkloadPilot   11: 12 op, 28453800.00 ns, 2.3712 ms/op
WorkloadPilot   12: 13 op, 30079000.00 ns, 2.3138 ms/op
WorkloadPilot   13: 14 op, 32477000.00 ns, 2.3198 ms/op
WorkloadPilot   14: 15 op, 37859700.00 ns, 2.5240 ms/op
WorkloadPilot   15: 16 op, 40901900.00 ns, 2.5564 ms/op
WorkloadPilot   16: 32 op, 75502300.00 ns, 2.3594 ms/op
WorkloadPilot   17: 64 op, 145945800.00 ns, 2.2804 ms/op
WorkloadPilot   18: 128 op, 288731500.00 ns, 2.2557 ms/op
WorkloadPilot   19: 256 op, 578136300.00 ns, 2.2583 ms/op

WorkloadWarmup   1: 256 op, 575728000.00 ns, 2.2489 ms/op
WorkloadWarmup   2: 256 op, 579564400.00 ns, 2.2639 ms/op
WorkloadWarmup   3: 256 op, 578902800.00 ns, 2.2613 ms/op
WorkloadWarmup   4: 256 op, 632123700.00 ns, 2.4692 ms/op
WorkloadWarmup   5: 256 op, 645336700.00 ns, 2.5208 ms/op
WorkloadWarmup   6: 256 op, 637911300.00 ns, 2.4918 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 633472200.00 ns, 2.4745 ms/op
WorkloadActual   2: 256 op, 608460900.00 ns, 2.3768 ms/op
WorkloadActual   3: 256 op, 620884100.00 ns, 2.4253 ms/op
