// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\a817a14d-650b-46cd-b0f2-64cdbe7ea6e1
// command took 1.69s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\a817a14d-650b-46cd-b0f2-64cdbe7ea6e1
// command took 3.22s and exited with 0
// ***** Done, took 00:00:05 (5.07 sec)   *****
// Found 6 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=10000]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a817a14d-650b-46cd-b0f2-64cdbe7ea6e1.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\a817a14d-650b-46cd-b0f2-64cdbe7ea6e1\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 331100.00 ns, 331.1000 us/op
WorkloadJitting  1: 1 op, 51282200.00 ns, 51.2822 ms/op

WorkloadPilot    1: 2 op, 4726300.00 ns, 2.3632 ms/op
WorkloadPilot    2: 3 op, 12299400.00 ns, 4.0998 ms/op
WorkloadPilot    3: 4 op, 13341200.00 ns, 3.3353 ms/op
WorkloadPilot    4: 5 op, 12610300.00 ns, 2.5221 ms/op
WorkloadPilot    5: 6 op, 14656000.00 ns, 2.4427 ms/op
WorkloadPilot    6: 7 op, 16706500.00 ns, 2.3866 ms/op
WorkloadPilot    7: 8 op, 18877200.00 ns, 2.3597 ms/op
WorkloadPilot    8: 9 op, 20708600.00 ns, 2.3010 ms/op
WorkloadPilot    9: 10 op, 21910200.00 ns, 2.1910 ms/op
WorkloadPilot   10: 11 op, 27874400.00 ns, 2.5340 ms/op
WorkloadPilot   11: 12 op, 27839500.00 ns, 2.3200 ms/op
WorkloadPilot   12: 13 op, 29003700.00 ns, 2.2311 ms/op
WorkloadPilot   13: 14 op, 33200800.00 ns, 2.3715 ms/op
WorkloadPilot   14: 15 op, 33933500.00 ns, 2.2622 ms/op
WorkloadPilot   15: 16 op, 35657100.00 ns, 2.2286 ms/op
WorkloadPilot   16: 32 op, 72497800.00 ns, 2.2656 ms/op
WorkloadPilot   17: 64 op, 144405400.00 ns, 2.2563 ms/op
WorkloadPilot   18: 128 op, 279437700.00 ns, 2.1831 ms/op
WorkloadPilot   19: 256 op, 569450700.00 ns, 2.2244 ms/op

WorkloadWarmup   1: 256 op, 568404100.00 ns, 2.2203 ms/op
WorkloadWarmup   2: 256 op, 569053100.00 ns, 2.2229 ms/op
WorkloadWarmup   3: 256 op, 577044500.00 ns, 2.2541 ms/op
WorkloadWarmup   4: 256 op, 570833100.00 ns, 2.2298 ms/op
WorkloadWarmup   5: 256 op, 599673200.00 ns, 2.3425 ms/op
WorkloadWarmup   6: 256 op, 636389700.00 ns, 2.4859 ms/op
