// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\989329b3-338b-45b8-a815-c1cbc42db714
// command took 1.67s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\989329b3-338b-45b8-a815-c1cbc42db714
// command took 3.22s and exited with 0
// ***** Done, took 00:00:05 (5.05 sec)   *****
// Found 3 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "989329b3-338b-45b8-a815-c1cbc42db714.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\989329b3-338b-45b8-a815-c1cbc42db714\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 331200.00 ns, 331.2000 us/op
WorkloadJitting  1: 1 op, 45492500.00 ns, 45.4925 ms/op

WorkloadPilot    1: 2 op, 4697400.00 ns, 2.3487 ms/op
WorkloadPilot    2: 3 op, 9285300.00 ns, 3.0951 ms/op
WorkloadPilot    3: 4 op, 9812100.00 ns, 2.4530 ms/op
WorkloadPilot    4: 5 op, 12021700.00 ns, 2.4043 ms/op
WorkloadPilot    5: 6 op, 14947700.00 ns, 2.4913 ms/op
WorkloadPilot    6: 7 op, 16347000.00 ns, 2.3353 ms/op
WorkloadPilot    7: 8 op, 20006000.00 ns, 2.5008 ms/op
WorkloadPilot    8: 9 op, 21520000.00 ns, 2.3911 ms/op
WorkloadPilot    9: 10 op, 23145800.00 ns, 2.3146 ms/op
WorkloadPilot   10: 11 op, 25274100.00 ns, 2.2976 ms/op
WorkloadPilot   11: 12 op, 28302000.00 ns, 2.3585 ms/op
WorkloadPilot   12: 13 op, 35866800.00 ns, 2.7590 ms/op
WorkloadPilot   13: 14 op, 36551200.00 ns, 2.6108 ms/op
WorkloadPilot   14: 15 op, 40390800.00 ns, 2.6927 ms/op
WorkloadPilot   15: 16 op, 36339400.00 ns, 2.2712 ms/op
WorkloadPilot   16: 32 op, 72231500.00 ns, 2.2572 ms/op
WorkloadPilot   17: 64 op, 142036000.00 ns, 2.2193 ms/op
WorkloadPilot   18: 128 op, 283936700.00 ns, 2.2183 ms/op
WorkloadPilot   19: 256 op, 565360900.00 ns, 2.2084 ms/op

WorkloadWarmup   1: 256 op, 572335300.00 ns, 2.2357 ms/op
WorkloadWarmup   2: 256 op, 563768400.00 ns, 2.2022 ms/op
