// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1e526366-aed5-4120-bc40-2ebded9ec0bf
// command took 2.12s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1e526366-aed5-4120-bc40-2ebded9ec0bf
// command took 3.69s and exited with 0
// ***** Done, took 00:00:05 (5.98 sec)   *****
// Found 3 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1e526366-aed5-4120-bc40-2ebded9ec0bf.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1e526366-aed5-4120-bc40-2ebded9ec0bf\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 323600.00 ns, 323.6000 us/op
WorkloadJitting  1: 1 op, 48506800.00 ns, 48.5068 ms/op

WorkloadPilot    1: 2 op, 5244300.00 ns, 2.6222 ms/op
WorkloadPilot    2: 3 op, 7280300.00 ns, 2.4268 ms/op
WorkloadPilot    3: 4 op, 9867500.00 ns, 2.4669 ms/op
WorkloadPilot    4: 5 op, 12187400.00 ns, 2.4375 ms/op
WorkloadPilot    5: 6 op, 13524900.00 ns, 2.2542 ms/op
WorkloadPilot    6: 7 op, 17053100.00 ns, 2.4362 ms/op
WorkloadPilot    7: 8 op, 18233000.00 ns, 2.2791 ms/op
WorkloadPilot    8: 9 op, 21009200.00 ns, 2.3344 ms/op
WorkloadPilot    9: 10 op, 21612900.00 ns, 2.1613 ms/op
WorkloadPilot   10: 11 op, 24064200.00 ns, 2.1877 ms/op
WorkloadPilot   11: 12 op, 34578100.00 ns, 2.8815 ms/op
WorkloadPilot   12: 13 op, 55879300.00 ns, 4.2984 ms/op
WorkloadPilot   13: 14 op, 31968800.00 ns, 2.2835 ms/op
WorkloadPilot   14: 15 op, 36459900.00 ns, 2.4307 ms/op
WorkloadPilot   15: 16 op, 40771800.00 ns, 2.5482 ms/op
WorkloadPilot   16: 32 op, 111087400.00 ns, 3.4715 ms/op
WorkloadPilot   17: 64 op, 206689200.00 ns, 3.2295 ms/op
WorkloadPilot   18: 128 op, 319509200.00 ns, 2.4962 ms/op
WorkloadPilot   19: 256 op, 521440000.00 ns, 2.0369 ms/op

WorkloadWarmup   1: 256 op, 522325700.00 ns, 2.0403 ms/op
WorkloadWarmup   2: 256 op, 515409300.00 ns, 2.0133 ms/op
WorkloadWarmup   3: 256 op, 531203600.00 ns, 2.0750 ms/op
WorkloadWarmup   4: 256 op, 501082500.00 ns, 1.9574 ms/op
WorkloadWarmup   5: 256 op, 529890300.00 ns, 2.0699 ms/op
WorkloadWarmup   6: 256 op, 521284400.00 ns, 2.0363 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 530887200.00 ns, 2.0738 ms/op
WorkloadActual   2: 256 op, 526249500.00 ns, 2.0557 ms/op
WorkloadActual   3: 256 op, 521485200.00 ns, 2.0371 ms/op
WorkloadActual   4: 256 op, 523050900.00 ns, 2.0432 ms/op
WorkloadActual   5: 256 op, 515488200.00 ns, 2.0136 ms/op
WorkloadActual   6: 256 op, 526333200.00 ns, 2.0560 ms/op
WorkloadActual   7: 256 op, 520410600.00 ns, 2.0329 ms/op
WorkloadActual   8: 256 op, 529715800.00 ns, 2.0692 ms/op
WorkloadActual   9: 256 op, 515328500.00 ns, 2.0130 ms/op
WorkloadActual  10: 256 op, 522890900.00 ns, 2.0425 ms/op
WorkloadActual  11: 256 op, 517528100.00 ns, 2.0216 ms/op
WorkloadActual  12: 256 op, 529706500.00 ns, 2.0692 ms/op
WorkloadActual  13: 256 op, 500320700.00 ns, 1.9544 ms/op
WorkloadActual  14: 256 op, 518785000.00 ns, 2.0265 ms/op
WorkloadActual  15: 256 op, 498639500.00 ns, 1.9478 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 530887200.00 ns, 2.0738 ms/op
WorkloadResult   2: 256 op, 526249500.00 ns, 2.0557 ms/op
WorkloadResult   3: 256 op, 521485200.00 ns, 2.0371 ms/op
WorkloadResult   4: 256 op, 523050900.00 ns, 2.0432 ms/op
WorkloadResult   5: 256 op, 515488200.00 ns, 2.0136 ms/op
WorkloadResult   6: 256 op, 526333200.00 ns, 2.0560 ms/op
WorkloadResult   7: 256 op, 520410600.00 ns, 2.0329 ms/op
WorkloadResult   8: 256 op, 529715800.00 ns, 2.0692 ms/op
WorkloadResult   9: 256 op, 515328500.00 ns, 2.0130 ms/op
WorkloadResult  10: 256 op, 522890900.00 ns, 2.0425 ms/op
WorkloadResult  11: 256 op, 517528100.00 ns, 2.0216 ms/op
WorkloadResult  12: 256 op, 529706500.00 ns, 2.0692 ms/op
WorkloadResult  13: 256 op, 500320700.00 ns, 1.9544 ms/op
WorkloadResult  14: 256 op, 518785000.00 ns, 2.0265 ms/op
WorkloadResult  15: 256 op, 498639500.00 ns, 1.9478 ms/op
GC:  144 0 0 453222400 256

// AfterAll

Mean = 2.0304 ms, StdErr = 0.0097 ms (0.48%); N = 15, StdDev = 0.0376 ms
Min = 1.9478 ms, Q1 = 2.0136 ms, Median = 2.0371 ms, Q3 = 2.0560 ms, Max = 2.0738 ms
IQR = 0.0424 ms, LowerFence = 1.9501 ms, UpperFence = 2.1195 ms
ConfidenceInterval = [1.9902 ms; 2.0706 ms] (CI 99.9%), Margin = 0.0402 ms (1.98% of Mean)
Skewness = -0.98, Kurtosis = 2.96, MValue = 2

// **************************
// Benchmark: JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1e526366-aed5-4120-bc40-2ebded9ec0bf.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.ObjectTest(N: 100)" --job "Default" --benchmarkId 1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1e526366-aed5-4120-bc40-2ebded9ec0bf\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 398500.00 ns, 398.5000 us/op
WorkloadJitting  1: 1 op, 166102400.00 ns, 166.1024 ms/op

WorkloadPilot    1: 2 op, 3298900.00 ns, 1.6495 ms/op
WorkloadPilot    2: 3 op, 5771200.00 ns, 1.9237 ms/op
WorkloadPilot    3: 4 op, 6307800.00 ns, 1.5770 ms/op
WorkloadPilot    4: 5 op, 9685400.00 ns, 1.9371 ms/op
WorkloadPilot    5: 6 op, 9807400.00 ns, 1.6346 ms/op
WorkloadPilot    6: 7 op, 11291600.00 ns, 1.6131 ms/op
WorkloadPilot    7: 8 op, 13956600.00 ns, 1.7446 ms/op
WorkloadPilot    8: 9 op, 14667100.00 ns, 1.6297 ms/op
WorkloadPilot    9: 10 op, 16192600.00 ns, 1.6193 ms/op
WorkloadPilot   10: 11 op, 17156100.00 ns, 1.5596 ms/op
WorkloadPilot   11: 12 op, 19672600.00 ns, 1.6394 ms/op
WorkloadPilot   12: 13 op, 20276500.00 ns, 1.5597 ms/op
WorkloadPilot   13: 14 op, 23119900.00 ns, 1.6514 ms/op
WorkloadPilot   14: 15 op, 23906400.00 ns, 1.5938 ms/op
WorkloadPilot   15: 16 op, 25165600.00 ns, 1.5729 ms/op
WorkloadPilot   16: 32 op, 48874300.00 ns, 1.5273 ms/op
WorkloadPilot   17: 64 op, 94167900.00 ns, 1.4714 ms/op
WorkloadPilot   18: 128 op, 184731600.00 ns, 1.4432 ms/op
WorkloadPilot   19: 256 op, 372391200.00 ns, 1.4547 ms/op
WorkloadPilot   20: 512 op, 737693700.00 ns, 1.4408 ms/op

WorkloadWarmup   1: 512 op, 738074000.00 ns, 1.4416 ms/op
WorkloadWarmup   2: 512 op, 732982100.00 ns, 1.4316 ms/op
WorkloadWarmup   3: 512 op, 724135900.00 ns, 1.4143 ms/op
