// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3ceb2273-2650-4594-8758-7f8b4fe0fe20
// command took 1.82s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3ceb2273-2650-4594-8758-7f8b4fe0fe20
// command took 3.21s and exited with 0
// ***** Done, took 00:00:05 (5.2 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=2]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=2]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=2]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=2]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=2]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3ceb2273-2650-4594-8758-7f8b4fe0fe20.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 2)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\3ceb2273-2650-4594-8758-7f8b4fe0fe20\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 388900.00 ns, 388.9000 us/op
WorkloadJitting  1: 1 op, 21487200.00 ns, 21.4872 ms/op

OverheadJitting  2: 16 op, 384400.00 ns, 24.0250 us/op
WorkloadJitting  2: 16 op, 3373100.00 ns, 210.8188 us/op

WorkloadPilot    1: 16 op, 4415600.00 ns, 275.9750 us/op
WorkloadPilot    2: 32 op, 7249600.00 ns, 226.5500 us/op
WorkloadPilot    3: 64 op, 13429100.00 ns, 209.8297 us/op
WorkloadPilot    4: 128 op, 23062400.00 ns, 180.1750 us/op
WorkloadPilot    5: 256 op, 44560400.00 ns, 174.0641 us/op
WorkloadPilot    6: 512 op, 75396900.00 ns, 147.2596 us/op
WorkloadPilot    7: 1024 op, 144868100.00 ns, 141.4728 us/op
WorkloadPilot    8: 2048 op, 288802900.00 ns, 141.0170 us/op
WorkloadPilot    9: 4096 op, 582817800.00 ns, 142.2895 us/op

OverheadWarmup   1: 4096 op, 14900.00 ns, 3.6377 ns/op
OverheadWarmup   2: 4096 op, 7900.00 ns, 1.9287 ns/op
OverheadWarmup   3: 4096 op, 8300.00 ns, 2.0264 ns/op
OverheadWarmup   4: 4096 op, 8200.00 ns, 2.0020 ns/op
OverheadWarmup   5: 4096 op, 8100.00 ns, 1.9775 ns/op
OverheadWarmup   6: 4096 op, 8100.00 ns, 1.9775 ns/op
OverheadWarmup   7: 4096 op, 8600.00 ns, 2.0996 ns/op

OverheadActual   1: 4096 op, 8300.00 ns, 2.0264 ns/op
OverheadActual   2: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual   3: 4096 op, 8300.00 ns, 2.0264 ns/op
OverheadActual   4: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual   5: 4096 op, 8200.00 ns, 2.0020 ns/op
