// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1cf1c17d-011b-4830-8879-760dc07e7138
// command took 1.61s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1cf1c17d-011b-4830-8879-760dc07e7138
// command took 3.01s and exited with 0
// ***** Done, took 00:00:04 (4.78 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1cf1c17d-011b-4830-8879-760dc07e7138.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\1cf1c17d-011b-4830-8879-760dc07e7138\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 322600.00 ns, 322.6000 us/op
WorkloadJitting  1: 1 op, 23987800.00 ns, 23.9878 ms/op

OverheadJitting  2: 16 op, 580900.00 ns, 36.3063 us/op
WorkloadJitting  2: 16 op, 117967700.00 ns, 7.3730 ms/op

WorkloadPilot    1: 16 op, 123409300.00 ns, 7.7131 ms/op
WorkloadPilot    2: 32 op, 224898500.00 ns, 7.0281 ms/op
WorkloadPilot    3: 64 op, 451900800.00 ns, 7.0610 ms/op
WorkloadPilot    4: 128 op, 892529700.00 ns, 6.9729 ms/op

OverheadWarmup   1: 128 op, 7600.00 ns, 59.3750 ns/op
OverheadWarmup   2: 128 op, 1300.00 ns, 10.1563 ns/op
OverheadWarmup   3: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   4: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadWarmup   5: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   6: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   7: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   8: 128 op, 600.00 ns, 4.6875 ns/op

OverheadActual   1: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   2: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual   3: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   4: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   5: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   6: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   7: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   8: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   9: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  10: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  11: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  12: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  13: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual  14: 128 op, 1300.00 ns, 10.1563 ns/op
OverheadActual  15: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual  16: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual  17: 128 op, 1200.00 ns, 9.3750 ns/op
OverheadActual  18: 128 op, 1000.00 ns, 7.8125 ns/op
OverheadActual  19: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual  20: 128 op, 700.00 ns, 5.4688 ns/op

