// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\852502dd-5541-4d75-bb7f-07879b6e6727
// command took 1.88s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\852502dd-5541-4d75-bb7f-07879b6e6727
// command took 3.02s and exited with 0
// ***** Done, took 00:00:05 (5.09 sec)   *****
// Found 4 benchmarks:
//   JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ObjectTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.XmlTest: DefaultJob [N=100]
//   JsonSerializerBenchmark.ProtoBufXmlTest: DefaultJob [N=100]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: JsonSerializerBenchmark.JsonTest: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "852502dd-5541-4d75-bb7f-07879b6e6727.dll" --benchmarkName "BenchmarkExamples.JsonSerializerBenchmark.JsonTest(N: 100)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\852502dd-5541-4d75-bb7f-07879b6e6727\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 330100.00 ns, 330.1000 us/op
WorkloadJitting  1: 1 op, 56505700.00 ns, 56.5057 ms/op

WorkloadPilot    1: 2 op, 17028800.00 ns, 8.5144 ms/op
WorkloadPilot    2: 3 op, 26760900.00 ns, 8.9203 ms/op
WorkloadPilot    3: 4 op, 32527600.00 ns, 8.1319 ms/op
WorkloadPilot    4: 5 op, 40772800.00 ns, 8.1546 ms/op
WorkloadPilot    5: 6 op, 45727800.00 ns, 7.6213 ms/op
WorkloadPilot    6: 7 op, 50510500.00 ns, 7.2158 ms/op
WorkloadPilot    7: 8 op, 55280300.00 ns, 6.9100 ms/op
WorkloadPilot    8: 9 op, 68205200.00 ns, 7.5784 ms/op
WorkloadPilot    9: 10 op, 70496800.00 ns, 7.0497 ms/op
WorkloadPilot   10: 11 op, 80491900.00 ns, 7.3174 ms/op
WorkloadPilot   11: 12 op, 80591100.00 ns, 6.7159 ms/op
WorkloadPilot   12: 13 op, 88891000.00 ns, 6.8378 ms/op
WorkloadPilot   13: 14 op, 94619400.00 ns, 6.7585 ms/op
WorkloadPilot   14: 15 op, 98671800.00 ns, 6.5781 ms/op
WorkloadPilot   15: 16 op, 108212200.00 ns, 6.7633 ms/op
WorkloadPilot   16: 32 op, 212137200.00 ns, 6.6293 ms/op
WorkloadPilot   17: 64 op, 423073300.00 ns, 6.6105 ms/op
WorkloadPilot   18: 128 op, 832509500.00 ns, 6.5040 ms/op

