// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\4a0720ae-a32e-4d0a-8e2e-b87748433684
// command took 1.96s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\4a0720ae-a32e-4d0a-8e2e-b87748433684
// command took 3.47s and exited with 0
// ***** Done, took 00:00:05 (5.61 sec)   *****
// Found 6 benchmarks:
//   SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=1000]
//   SyncAsyncBenchmark.TestingSyncAsyncMethod: DefaultJob [N=1000]
//   SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=5000]
//   SyncAsyncBenchmark.TestingSyncAsyncMethod: DefaultJob [N=5000]
//   SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=10000]
//   SyncAsyncBenchmark.TestingSyncAsyncMethod: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "4a0720ae-a32e-4d0a-8e2e-b87748433684.dll" --benchmarkName "BenchmarkExamples.SyncAsync.SyncAsyncBenchmark.TestingSyncMethod(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\4a0720ae-a32e-4d0a-8e2e-b87748433684\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.7 (CoreCLR 4.6.28008.02, CoreFX 4.6.28008.03), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 462600.00 ns, 462.6000 us/op
WorkloadJitting  1: 1 op, 413700.00 ns, 413.7000 us/op

OverheadJitting  2: 16 op, 270000.00 ns, 16.8750 us/op
WorkloadJitting  2: 16 op, 509000.00 ns, 31.8125 us/op

WorkloadPilot    1: 16 op, 72600.00 ns, 4.5375 us/op
WorkloadPilot    2: 32 op, 342400.00 ns, 10.7000 us/op
WorkloadPilot    3: 64 op, 636900.00 ns, 9.9516 us/op
WorkloadPilot    4: 128 op, 1272000.00 ns, 9.9375 us/op
WorkloadPilot    5: 256 op, 1263600.00 ns, 4.9359 us/op
WorkloadPilot    6: 512 op, 3053700.00 ns, 5.9643 us/op
WorkloadPilot    7: 1024 op, 6911900.00 ns, 6.7499 us/op
WorkloadPilot    8: 2048 op, 13865400.00 ns, 6.7702 us/op
WorkloadPilot    9: 4096 op, 23088900.00 ns, 5.6369 us/op
WorkloadPilot   10: 8192 op, 47222000.00 ns, 5.7644 us/op
WorkloadPilot   11: 16384 op, 79072200.00 ns, 4.8262 us/op
WorkloadPilot   12: 32768 op, 142632800.00 ns, 4.3528 us/op
WorkloadPilot   13: 65536 op, 280514000.00 ns, 4.2803 us/op
WorkloadPilot   14: 131072 op, 552617100.00 ns, 4.2161 us/op

OverheadWarmup   1: 131072 op, 219100.00 ns, 1.6716 ns/op
OverheadWarmup   2: 131072 op, 279800.00 ns, 2.1347 ns/op
OverheadWarmup   3: 131072 op, 241100.00 ns, 1.8394 ns/op
OverheadWarmup   4: 131072 op, 263800.00 ns, 2.0126 ns/op
OverheadWarmup   5: 131072 op, 251700.00 ns, 1.9203 ns/op

OverheadActual   1: 131072 op, 244200.00 ns, 1.8631 ns/op
OverheadActual   2: 131072 op, 236100.00 ns, 1.8013 ns/op
OverheadActual   3: 131072 op, 271600.00 ns, 2.0721 ns/op
OverheadActual   4: 131072 op, 210400.00 ns, 1.6052 ns/op
OverheadActual   5: 131072 op, 258700.00 ns, 1.9737 ns/op
OverheadActual   6: 131072 op, 218800.00 ns, 1.6693 ns/op
OverheadActual   7: 131072 op, 314300.00 ns, 2.3979 ns/op
OverheadActual   8: 131072 op, 210600.00 ns, 1.6068 ns/op
OverheadActual   9: 131072 op, 322200.00 ns, 2.4582 ns/op
OverheadActual  10: 131072 op, 263800.00 ns, 2.0126 ns/op
OverheadActual  11: 131072 op, 298100.00 ns, 2.2743 ns/op
OverheadActual  12: 131072 op, 265000.00 ns, 2.0218 ns/op
OverheadActual  13: 131072 op, 299500.00 ns, 2.2850 ns/op
OverheadActual  14: 131072 op, 250100.00 ns, 1.9081 ns/op
OverheadActual  15: 131072 op, 340900.00 ns, 2.6009 ns/op
OverheadActual  16: 131072 op, 281900.00 ns, 2.1507 ns/op
OverheadActual  17: 131072 op, 284800.00 ns, 2.1729 ns/op
OverheadActual  18: 131072 op, 217100.00 ns, 1.6563 ns/op
OverheadActual  19: 131072 op, 217900.00 ns, 1.6624 ns/op
OverheadActual  20: 131072 op, 254200.00 ns, 1.9394 ns/op

WorkloadWarmup   1: 131072 op, 558172000.00 ns, 4.2585 us/op
WorkloadWarmup   2: 131072 op, 552168500.00 ns, 4.2127 us/op
WorkloadWarmup   3: 131072 op, 574258000.00 ns, 4.3812 us/op
WorkloadWarmup   4: 131072 op, 551347300.00 ns, 4.2064 us/op
WorkloadWarmup   5: 131072 op, 584896600.00 ns, 4.4624 us/op
WorkloadWarmup   6: 131072 op, 566662600.00 ns, 4.3233 us/op

// BeforeActualRun
WorkloadActual   1: 131072 op, 572598200.00 ns, 4.3686 us/op
WorkloadActual   2: 131072 op, 576026900.00 ns, 4.3947 us/op
WorkloadActual   3: 131072 op, 534493300.00 ns, 4.0779 us/op
WorkloadActual   4: 131072 op, 552635600.00 ns, 4.2163 us/op
WorkloadActual   5: 131072 op, 550276100.00 ns, 4.1983 us/op
WorkloadActual   6: 131072 op, 564772200.00 ns, 4.3089 us/op
WorkloadActual   7: 131072 op, 533830200.00 ns, 4.0728 us/op
WorkloadActual   8: 131072 op, 615605900.00 ns, 4.6967 us/op
WorkloadActual   9: 131072 op, 553789800.00 ns, 4.2251 us/op
WorkloadActual  10: 131072 op, 551309700.00 ns, 4.2062 us/op
WorkloadActual  11: 131072 op, 561978100.00 ns, 4.2876 us/op
WorkloadActual  12: 131072 op, 573776700.00 ns, 4.3776 us/op
WorkloadActual  13: 131072 op, 564044300.00 ns, 4.3033 us/op
WorkloadActual  14: 131072 op, 567928600.00 ns, 4.3330 us/op
WorkloadActual  15: 131072 op, 599640200.00 ns, 4.5749 us/op
WorkloadActual  16: 131072 op, 621290300.00 ns, 4.7401 us/op
WorkloadActual  17: 131072 op, 591189100.00 ns, 4.5104 us/op
WorkloadActual  18: 131072 op, 633601500.00 ns, 4.8340 us/op
WorkloadActual  19: 131072 op, 627700100.00 ns, 4.7890 us/op
WorkloadActual  20: 131072 op, 599893700.00 ns, 4.5768 us/op
WorkloadActual  21: 131072 op, 653929300.00 ns, 4.9891 us/op
WorkloadActual  22: 131072 op, 681294900.00 ns, 5.1979 us/op
WorkloadActual  23: 131072 op, 624561800.00 ns, 4.7650 us/op
WorkloadActual  24: 131072 op, 561637500.00 ns, 4.2850 us/op
WorkloadActual  25: 131072 op, 560563300.00 ns, 4.2768 us/op
WorkloadActual  26: 131072 op, 556358100.00 ns, 4.2447 us/op
WorkloadActual  27: 131072 op, 571327400.00 ns, 4.3589 us/op
WorkloadActual  28: 131072 op, 551456800.00 ns, 4.2073 us/op
WorkloadActual  29: 131072 op, 534393300.00 ns, 4.0771 us/op
WorkloadActual  30: 131072 op, 562838100.00 ns, 4.2941 us/op
WorkloadActual  31: 131072 op, 557519800.00 ns, 4.2535 us/op
WorkloadActual  32: 131072 op, 578275600.00 ns, 4.4119 us/op
WorkloadActual  33: 131072 op, 562242900.00 ns, 4.2896 us/op
WorkloadActual  34: 131072 op, 556500500.00 ns, 4.2458 us/op
WorkloadActual  35: 131072 op, 549036200.00 ns, 4.1888 us/op
WorkloadActual  36: 131072 op, 536438800.00 ns, 4.0927 us/op
WorkloadActual  37: 131072 op, 550088900.00 ns, 4.1968 us/op
WorkloadActual  38: 131072 op, 559742800.00 ns, 4.2705 us/op
WorkloadActual  39: 131072 op, 570656300.00 ns, 4.3538 us/op
WorkloadActual  40: 131072 op, 559884000.00 ns, 4.2716 us/op
WorkloadActual  41: 131072 op, 543106400.00 ns, 4.1436 us/op
WorkloadActual  42: 131072 op, 558239200.00 ns, 4.2590 us/op

// AfterActualRun
WorkloadResult   1: 131072 op, 572336950.00 ns, 4.3666 us/op
WorkloadResult   2: 131072 op, 575765650.00 ns, 4.3927 us/op
WorkloadResult   3: 131072 op, 534232050.00 ns, 4.0759 us/op
WorkloadResult   4: 131072 op, 552374350.00 ns, 4.2143 us/op
WorkloadResult   5: 131072 op, 550014850.00 ns, 4.1963 us/op
WorkloadResult   6: 131072 op, 564510950.00 ns, 4.3069 us/op
WorkloadResult   7: 131072 op, 533568950.00 ns, 4.0708 us/op
WorkloadResult   8: 131072 op, 615344650.00 ns, 4.6947 us/op
WorkloadResult   9: 131072 op, 553528550.00 ns, 4.2231 us/op
WorkloadResult  10: 131072 op, 551048450.00 ns, 4.2042 us/op
WorkloadResult  11: 131072 op, 561716850.00 ns, 4.2856 us/op
WorkloadResult  12: 131072 op, 573515450.00 ns, 4.3756 us/op
WorkloadResult  13: 131072 op, 563783050.00 ns, 4.3013 us/op
WorkloadResult  14: 131072 op, 567667350.00 ns, 4.3310 us/op
WorkloadResult  15: 131072 op, 599378950.00 ns, 4.5729 us/op
WorkloadResult  16: 131072 op, 590927850.00 ns, 4.5084 us/op
WorkloadResult  17: 131072 op, 599632450.00 ns, 4.5748 us/op
WorkloadResult  18: 131072 op, 561376250.00 ns, 4.2830 us/op
WorkloadResult  19: 131072 op, 560302050.00 ns, 4.2748 us/op
WorkloadResult  20: 131072 op, 556096850.00 ns, 4.2427 us/op
WorkloadResult  21: 131072 op, 571066150.00 ns, 4.3569 us/op
WorkloadResult  22: 131072 op, 551195550.00 ns, 4.2053 us/op
WorkloadResult  23: 131072 op, 534132050.00 ns, 4.0751 us/op
WorkloadResult  24: 131072 op, 562576850.00 ns, 4.2921 us/op
WorkloadResult  25: 131072 op, 557258550.00 ns, 4.2515 us/op
WorkloadResult  26: 131072 op, 578014350.00 ns, 4.4099 us/op
WorkloadResult  27: 131072 op, 561981650.00 ns, 4.2876 us/op
WorkloadResult  28: 131072 op, 556239250.00 ns, 4.2438 us/op
WorkloadResult  29: 131072 op, 548774950.00 ns, 4.1868 us/op
WorkloadResult  30: 131072 op, 536177550.00 ns, 4.0907 us/op
WorkloadResult  31: 131072 op, 549827650.00 ns, 4.1949 us/op
WorkloadResult  32: 131072 op, 559481550.00 ns, 4.2685 us/op
WorkloadResult  33: 131072 op, 570395050.00 ns, 4.3518 us/op
WorkloadResult  34: 131072 op, 559622750.00 ns, 4.2696 us/op
WorkloadResult  35: 131072 op, 542845150.00 ns, 4.1416 us/op
WorkloadResult  36: 131072 op, 557977950.00 ns, 4.2570 us/op
GC:  999 0 0 3145728000 131072

// AfterAll

Mean = 4.2883 us, StdErr = 0.0233 us (0.54%); N = 36, StdDev = 0.1398 us
Min = 4.0708 us, Q1 = 4.2047 us, Median = 4.2722 us, Q3 = 4.3543 us, Max = 4.6947 us
IQR = 0.1496 us, LowerFence = 3.9803 us, UpperFence = 4.5787 us
ConfidenceInterval = [4.2046 us; 4.3720 us] (CI 99.9%), Margin = 0.0837 us (1.95% of Mean)
Skewness = 0.85, Kurtosis = 3.79, MValue = 2

// **************************
