// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\baeb2b4e-c1e3-4f50-87e8-3e3934a55ef4
// command took 1.94s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\baeb2b4e-c1e3-4f50-87e8-3e3934a55ef4
// command took 3.45s and exited with 0
// ***** Done, took 00:00:05 (5.64 sec)   *****
// Found 6 benchmarks:
//   SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=1000]
//   SyncAsyncBenchmark.TestingSyncAsyncMethod: DefaultJob [N=1000]
//   SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=5000]
//   SyncAsyncBenchmark.TestingSyncAsyncMethod: DefaultJob [N=5000]
//   SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=10000]
//   SyncAsyncBenchmark.TestingSyncAsyncMethod: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: SyncAsyncBenchmark.TestingSyncMethod: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "baeb2b4e-c1e3-4f50-87e8-3e3934a55ef4.dll" --benchmarkName "BenchmarkExamples.SyncAsync.SyncAsyncBenchmark.TestingSyncMethod(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\baeb2b4e-c1e3-4f50-87e8-3e3934a55ef4\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.7 (CoreCLR 4.6.28008.02, CoreFX 4.6.28008.03), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 320100.00 ns, 320.1000 us/op
WorkloadJitting  1: 1 op, 337700.00 ns, 337.7000 us/op

OverheadJitting  2: 16 op, 374900.00 ns, 23.4313 us/op
WorkloadJitting  2: 16 op, 910400.00 ns, 56.9000 us/op

WorkloadPilot    1: 16 op, 69000.00 ns, 4.3125 us/op
WorkloadPilot    2: 32 op, 396600.00 ns, 12.3938 us/op
WorkloadPilot    3: 64 op, 618700.00 ns, 9.6672 us/op
WorkloadPilot    4: 128 op, 1218900.00 ns, 9.5227 us/op
WorkloadPilot    5: 256 op, 1321300.00 ns, 5.1613 us/op
WorkloadPilot    6: 512 op, 6003700.00 ns, 11.7260 us/op
WorkloadPilot    7: 1024 op, 5296200.00 ns, 5.1721 us/op
WorkloadPilot    8: 2048 op, 12968800.00 ns, 6.3324 us/op
WorkloadPilot    9: 4096 op, 32913500.00 ns, 8.0355 us/op
WorkloadPilot   10: 8192 op, 48942400.00 ns, 5.9744 us/op
WorkloadPilot   11: 16384 op, 85609300.00 ns, 5.2252 us/op
WorkloadPilot   12: 32768 op, 145811300.00 ns, 4.4498 us/op
WorkloadPilot   13: 65536 op, 272973000.00 ns, 4.1652 us/op
WorkloadPilot   14: 131072 op, 558464000.00 ns, 4.2607 us/op

OverheadWarmup   1: 131072 op, 246300.00 ns, 1.8791 ns/op
OverheadWarmup   2: 131072 op, 372500.00 ns, 2.8419 ns/op
OverheadWarmup   3: 131072 op, 271000.00 ns, 2.0676 ns/op
OverheadWarmup   4: 131072 op, 255100.00 ns, 1.9463 ns/op
OverheadWarmup   5: 131072 op, 265200.00 ns, 2.0233 ns/op
OverheadWarmup   6: 131072 op, 252300.00 ns, 1.9249 ns/op

OverheadActual   1: 131072 op, 425400.00 ns, 3.2455 ns/op
OverheadActual   2: 131072 op, 244300.00 ns, 1.8639 ns/op
OverheadActual   3: 131072 op, 244200.00 ns, 1.8631 ns/op
OverheadActual   4: 131072 op, 208600.00 ns, 1.5915 ns/op
OverheadActual   5: 131072 op, 210100.00 ns, 1.6029 ns/op
