// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\f2f55486-0077-4c33-b104-84b1e5936e50
// command took 1.82s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\f2f55486-0077-4c33-b104-84b1e5936e50
// command took 3.21s and exited with 0
// ***** Done, took 00:00:05 (5.17 sec)   *****
// Found 2 benchmarks:
//   YieldBenchmark.TestingRegularReturn: DefaultJob [N=10]
//   YieldBenchmark.TestingYieldReturn: DefaultJob [N=10]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: YieldBenchmark.TestingRegularReturn: DefaultJob [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f2f55486-0077-4c33-b104-84b1e5936e50.dll" --benchmarkName "BenchmarkExamples.Yield.YieldBenchmark.TestingRegularReturn(N: 10)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\f2f55486-0077-4c33-b104-84b1e5936e50\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 331400.00 ns, 331.4000 us/op
WorkloadJitting  1: 1 op, 5185800.00 ns, 5.1858 ms/op

OverheadJitting  2: 16 op, 261100.00 ns, 16.3188 us/op
WorkloadJitting  2: 16 op, 7260100.00 ns, 453.7563 us/op

WorkloadPilot    1: 16 op, 4362200.00 ns, 272.6375 us/op
WorkloadPilot    2: 32 op, 10660400.00 ns, 333.1375 us/op
WorkloadPilot    3: 64 op, 18634200.00 ns, 291.1594 us/op
WorkloadPilot    4: 128 op, 40229500.00 ns, 314.2930 us/op
WorkloadPilot    5: 256 op, 69781100.00 ns, 272.5824 us/op
WorkloadPilot    6: 512 op, 138897400.00 ns, 271.2840 us/op
WorkloadPilot    7: 1024 op, 259946300.00 ns, 253.8538 us/op
WorkloadPilot    8: 2048 op, 510544600.00 ns, 249.2894 us/op

OverheadWarmup   1: 2048 op, 8500.00 ns, 4.1504 ns/op
OverheadWarmup   2: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadWarmup   3: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadWarmup   4: 2048 op, 8200.00 ns, 4.0039 ns/op
OverheadWarmup   5: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadWarmup   6: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadWarmup   7: 2048 op, 4200.00 ns, 2.0508 ns/op

OverheadActual   1: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   2: 2048 op, 4300.00 ns, 2.0996 ns/op
OverheadActual   3: 2048 op, 3700.00 ns, 1.8066 ns/op
OverheadActual   4: 2048 op, 3800.00 ns, 1.8555 ns/op
