// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\137190fe-ab22-404a-a81c-9517bc010aa9
// command took 1.83s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\137190fe-ab22-404a-a81c-9517bc010aa9
// command took 3.35s and exited with 0
// ***** Done, took 00:00:05 (5.36 sec)   *****
// Found 6 benchmarks:
//   YieldBenchmark.RegularReturn1Level: DefaultJob [N=10]
//   YieldBenchmark.YieldReturn1Level: DefaultJob [N=10]
//   YieldBenchmark.RegularReturn2Levels: DefaultJob [N=10]
//   YieldBenchmark.YieldReturn2Levels: DefaultJob [N=10]
//   YieldBenchmark.RegularReturn3Levels: DefaultJob [N=10]
//   YieldBenchmark.YieldReturn3Levels: DefaultJob [N=10]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: YieldBenchmark.RegularReturn1Level: DefaultJob [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "137190fe-ab22-404a-a81c-9517bc010aa9.dll" --benchmarkName "BenchmarkExamples.Yield.YieldBenchmark.RegularReturn1Level(N: 10)" --job "Default" --benchmarkId 0 in C:\dev\BenchmarkExamples\src\BenchmarkExamples\bin\Release\netcoreapp2.2\137190fe-ab22-404a-a81c-9517bc010aa9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 364400.00 ns, 364.4000 us/op
WorkloadJitting  1: 1 op, 1424500.00 ns, 1.4245 ms/op

OverheadJitting  2: 16 op, 259300.00 ns, 16.2063 us/op
WorkloadJitting  2: 16 op, 476900.00 ns, 29.8063 us/op

WorkloadPilot    1: 16 op, 43200.00 ns, 2.7000 us/op
WorkloadPilot    2: 32 op, 76400.00 ns, 2.3875 us/op
WorkloadPilot    3: 64 op, 183900.00 ns, 2.8734 us/op
WorkloadPilot    4: 128 op, 514600.00 ns, 4.0203 us/op
WorkloadPilot    5: 256 op, 878500.00 ns, 3.4316 us/op
WorkloadPilot    6: 512 op, 1896000.00 ns, 3.7031 us/op
WorkloadPilot    7: 1024 op, 2817400.00 ns, 2.7514 us/op
WorkloadPilot    8: 2048 op, 4412500.00 ns, 2.1545 us/op
WorkloadPilot    9: 4096 op, 11317300.00 ns, 2.7630 us/op
WorkloadPilot   10: 8192 op, 18603300.00 ns, 2.2709 us/op
WorkloadPilot   11: 16384 op, 40762600.00 ns, 2.4880 us/op
WorkloadPilot   12: 32768 op, 75151000.00 ns, 2.2934 us/op
WorkloadPilot   13: 65536 op, 142754900.00 ns, 2.1783 us/op
WorkloadPilot   14: 131072 op, 286209400.00 ns, 2.1836 us/op
WorkloadPilot   15: 262144 op, 589956200.00 ns, 2.2505 us/op

OverheadWarmup   1: 262144 op, 492900.00 ns, 1.8803 ns/op
OverheadWarmup   2: 262144 op, 485900.00 ns, 1.8536 ns/op
OverheadWarmup   3: 262144 op, 525300.00 ns, 2.0039 ns/op
OverheadWarmup   4: 262144 op, 536800.00 ns, 2.0477 ns/op
OverheadWarmup   5: 262144 op, 546700.00 ns, 2.0855 ns/op
OverheadWarmup   6: 262144 op, 529300.00 ns, 2.0191 ns/op
OverheadWarmup   7: 262144 op, 506700.00 ns, 1.9329 ns/op
OverheadWarmup   8: 262144 op, 498600.00 ns, 1.9020 ns/op
OverheadWarmup   9: 262144 op, 617300.00 ns, 2.3548 ns/op
OverheadWarmup  10: 262144 op, 585400.00 ns, 2.2331 ns/op

OverheadActual   1: 262144 op, 476300.00 ns, 1.8169 ns/op
OverheadActual   2: 262144 op, 601700.00 ns, 2.2953 ns/op
OverheadActual   3: 262144 op, 471800.00 ns, 1.7998 ns/op
OverheadActual   4: 262144 op, 547000.00 ns, 2.0866 ns/op
OverheadActual   5: 262144 op, 516000.00 ns, 1.9684 ns/op
OverheadActual   6: 262144 op, 559200.00 ns, 2.1332 ns/op
OverheadActual   7: 262144 op, 608700.00 ns, 2.3220 ns/op
OverheadActual   8: 262144 op, 601900.00 ns, 2.2961 ns/op
OverheadActual   9: 262144 op, 507000.00 ns, 1.9341 ns/op
OverheadActual  10: 262144 op, 506600.00 ns, 1.9325 ns/op
OverheadActual  11: 262144 op, 480900.00 ns, 1.8345 ns/op
OverheadActual  12: 262144 op, 622800.00 ns, 2.3758 ns/op
OverheadActual  13: 262144 op, 474600.00 ns, 1.8105 ns/op
OverheadActual  14: 262144 op, 470300.00 ns, 1.7941 ns/op
OverheadActual  15: 262144 op, 446200.00 ns, 1.7021 ns/op
OverheadActual  16: 262144 op, 501500.00 ns, 1.9131 ns/op
OverheadActual  17: 262144 op, 487900.00 ns, 1.8612 ns/op
OverheadActual  18: 262144 op, 467600.00 ns, 1.7838 ns/op
OverheadActual  19: 262144 op, 576300.00 ns, 2.1984 ns/op
OverheadActual  20: 262144 op, 519100.00 ns, 1.9802 ns/op

WorkloadWarmup   1: 262144 op, 550437300.00 ns, 2.0998 us/op
WorkloadWarmup   2: 262144 op, 537940500.00 ns, 2.0521 us/op
WorkloadWarmup   3: 262144 op, 550126800.00 ns, 2.0986 us/op
WorkloadWarmup   4: 262144 op, 549800300.00 ns, 2.0973 us/op
WorkloadWarmup   5: 262144 op, 554795100.00 ns, 2.1164 us/op
WorkloadWarmup   6: 262144 op, 551716700.00 ns, 2.1046 us/op

// BeforeActualRun
WorkloadActual   1: 262144 op, 535999700.00 ns, 2.0447 us/op
WorkloadActual   2: 262144 op, 562534700.00 ns, 2.1459 us/op
WorkloadActual   3: 262144 op, 549493400.00 ns, 2.0962 us/op
WorkloadActual   4: 262144 op, 548819300.00 ns, 2.0936 us/op
WorkloadActual   5: 262144 op, 541082900.00 ns, 2.0641 us/op
WorkloadActual   6: 262144 op, 547502800.00 ns, 2.0886 us/op
WorkloadActual   7: 262144 op, 539481900.00 ns, 2.0580 us/op
WorkloadActual   8: 262144 op, 546413500.00 ns, 2.0844 us/op
WorkloadActual   9: 262144 op, 544039200.00 ns, 2.0753 us/op
WorkloadActual  10: 262144 op, 546407400.00 ns, 2.0844 us/op
WorkloadActual  11: 262144 op, 544086300.00 ns, 2.0755 us/op
WorkloadActual  12: 262144 op, 545508600.00 ns, 2.0810 us/op
WorkloadActual  13: 262144 op, 550464400.00 ns, 2.0999 us/op
WorkloadActual  14: 262144 op, 542147100.00 ns, 2.0681 us/op
WorkloadActual  15: 262144 op, 551681800.00 ns, 2.1045 us/op

// AfterActualRun
WorkloadResult   1: 262144 op, 535492900.00 ns, 2.0427 us/op
WorkloadResult   2: 262144 op, 548986600.00 ns, 2.0942 us/op
WorkloadResult   3: 262144 op, 548312500.00 ns, 2.0916 us/op
WorkloadResult   4: 262144 op, 540576100.00 ns, 2.0621 us/op
WorkloadResult   5: 262144 op, 546996000.00 ns, 2.0866 us/op
WorkloadResult   6: 262144 op, 538975100.00 ns, 2.0560 us/op
WorkloadResult   7: 262144 op, 545906700.00 ns, 2.0825 us/op
WorkloadResult   8: 262144 op, 543532400.00 ns, 2.0734 us/op
